set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
75932-1,Jurassic Park Velociraptor Chase ,/sets/75932-1/Jurassic-Park-Velociraptor-Chase,Licensed,Jurassic World,Jurassic Park,2018,360,4,/inventories/75932-1,/minifigs/inset-75932-1,"£44.99, $39.99, 49.99€","New: $40, Used: $30",5.0,3,"Alan Grant, Ellie Satler, Lex Murphy, Tim Murphy, Camera, Dinosaur, Kitchen, Lab, Raptor, Science",Normal,Box,
75933-1,T. Rex Transport,/sets/75933-1/T-Rex-Transport,Licensed,Jurassic World,Fallen Kingdom,2018,609,3,/inventories/75933-1,/minifigs/inset-75933-1,"£59.99, $69.99, 69.99€","New: $57, Used: Not known",5.0,1review,"InGen Guard, Zia Rodriguez, Articulated Lorry, Dinosaur, Trailer, Transport Vehicle, Truck, Tyrannosaurus Rex",Normal,Box,
75950-1,Aragog's Lair,/sets/75950-1/Aragog-s-Lair,Licensed,Harry Potter,Chamber of Secrets,2018,157,2,/inventories/75950-1,/minifigs/inset-75950-1,"£12.99, $14.99, 19.99€","New: $13, Used: $12",4.1,7,"Harry Potter, Ron Weasley, Aragog, Brick Built Animals, Brick Built Tree, Gryffindor, Magic, Mushroom, Spider, Spooky, Wizarding World",Normal,Box,
75951-1,Grindelwald's Escape,/sets/75951-1/Grindelwald-s-Escape,Licensed,Harry Potter,Fantastic Beasts,2018,132,2,/inventories/75951-1,/minifigs/inset-75951-1,"£19.99, $19.99, 29.99€","New: $20, Used: $15",4.3,3,"Gellert Grindelwald, Seraphina Picquery, Carriage, Fantastic Beasts And Where To Find Them, Thestral, Wizarding World",Normal,Box,
75952-1,Newt's Case of Magical Creatures,/sets/75952-1/Newt-s-Case-of-Magical-Creatures,Licensed,Harry Potter,Fantastic Beasts,2018,694,4,/inventories/75952-1,/minifigs/inset-75952-1,"£44.99, $49.99, 49.99€","New: $38, Used: $32",5.0,2,"Jacob Kowalski, Newt Scamander, Queenie Goldstein, Tina Goldstein, Brick Built Animals, Fantastic Beasts And Where To Find Them, Magic, Niffler, Wizarding World",Normal,Box,
75953-1,Hogwarts Whomping Willow,/sets/75953-1/Hogwarts-Whomping-Willow,Licensed,Harry Potter,Chamber of Secrets,2018,753,6,/inventories/75953-1,/minifigs/inset-75953-1,"£59.99, $69.99, 69.99€","New: $53, Used: $46",5.0,3,"Argus Filch, Harry Potter, Hermione Granger, Professor Severus Snape, Ron Weasley, Seamus Finnigan, Bedroom, Bird, Brick Built Tree, Car, Castle, Ford, Gryffindor, Hedwig, Hogwarts, Hogwarts Staff, Magic, Owl, School, Wizarding World",Normal,Box,Connects with 75954-1 
75954-1,Hogwarts Great Hall,/sets/75954-1/Hogwarts-Great-Hall,Licensed,Harry Potter,General,2018,878,10,/inventories/75954-1,/minifigs/inset-75954-1,"£89.99, $99.99, 99.99€","New: $81, Used: $60",4.7,7,"Albus Dumbledore, Draco Malfoy, Harry Potter, Hermione Granger, Nearly Headless Nick, Professor McGonagall, Professor Quirinus Quirrell, Ron Weasley, Rubeus Hagrid, Susan Bones, Bird, Brick Built Animals, Castle, Gryffindor, Hedwig, Hogwarts, Hogwarts Staff, Hufflepuff, Mirror Of Erised, Owl, Rat, Rowing Boat, School, Slytherin, Snake, Wizarding World",Normal,Box,Connects with 75953-1 
75955-1,Hogwarts Express,/sets/75955-1/Hogwarts-Express,Licensed,Harry Potter,Prisoner of Azkaban,2018,801,6,/inventories/75955-1,/minifigs/inset-75955-1,"£74.99, $79.99, 79.99€","New: $70, Used: $58",4.8,4,"Dementor, Harry Potter, Hermione Granger, Professor Remus Lupin, Ron Weasley, Trolley Witch, Cart, Gryffindor, Hogwarts Express, Hogwarts Staff, London, Magic, Passenger Train, Steam Locomotive, Train Station, Wizarding World",Normal,Box,
75956-1,Quidditch Match,/sets/75956-1/Quidditch-Match,Licensed,Harry Potter,Philosopher's Stone,2018,500,6,/inventories/75956-1,/minifigs/inset-75956-1,"£34.99, $39.99, 39.99€","New: $31, Used: $26",4.5,2,"Harry Potter, Hermione Granger, Lucian Bole, Marcus Flint, Oliver Wood, Professor Severus Snape, Flying, Gryffindor, Hogwarts Staff, Magic, Slytherin, Sports, Wizarding World",Normal,Box,
75987-1,Omnic Bastion,/sets/75987-1/Omnic-Bastion,Licensed,Overwatch,Miscellaneous,2018,182,0,/inventories/75987-1,,"£22.50, $25.00","New: $34, Used: $32",4.0,1review,"Bird, Brick Built Animals, Ganymede, Omnic, Robot, Video Game",Normal,Box,Exclusive to Blizzard's online shop and BlizzCon
