set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
1356-1,Stuntman Catapult,Modern day,Studios,,2001.0,29.0,2.0,4.0,17.0,5.0,4.4,11.0
1357-1,Cameraman,Modern day,Studios,,2001.0,21.0,1.0,2.0,11.0,5.0,4.2,11.0
1360-1,Director's Copter,Modern day,Studios,,2001.0,22.0,1.0,3.0,5.0,5.0,4.0,1.0
1361-1,Camera Car,Modern day,Studios,,2001.0,20.0,1.0,3.0,10.0,4.0,4.5,2.0
1362-1,Air Boat,Modern day,Studios,,2001.0,24.0,1.0,3.0,7.0,5.0,2.0,2.0
1363-1,Stunt Go-Cart,Modern day,Studios,,2001.0,25.0,1.0,3.0,5.0,2.0,2.0,1.0
1370-1,Raptor Rumble,Modern day,Studios,Jurassic Park III,2001.0,157.0,3.0,20.0,65.0,30.0,3.8,8.0
1371-1,Spinosaurus Attack,Modern day,Studios,Jurassic Park III,2001.0,155.0,2.0,35.0,190.0,51.0,4.8,4.0
2718-1,Inflight Air 2000,Modern day,Town,Special,2001.0,142.0,3.0,,85.0,,,
3416-1,Women's Team,Modern day,Sports,Football,2001.0,62.0,6.0,9.95,30.0,10.0,3.5,2.0
3418-1,Point Shooting,Modern day,Sports,Football,2001.0,24.0,1.0,,20.0,15.0,3.0,3.0
3419-1,Precision Shooting,Modern day,Sports,Football,2001.0,24.0,1.0,,24.0,10.0,4.0,2.0
3451-1,Sopwith Camel,Model making,Creator Expert,Aircraft,2001.0,574.0,0.0,50.0,170.0,88.0,4.3,12.0
3724-1,LEGO Dragon,Model making,Creator Expert,Sculptures,2001.0,1530.0,0.0,99.0,2307.0,248.0,5.0,1.0
3740-1,Small Locomotive,Modern day,Trains,9V,2001.0,67.0,0.0,15.0,46.0,,5.0,1.0
3741-1,Large Locomotive,Modern day,Trains,9V,2001.0,92.0,0.0,20.0,80.0,,,
3742-1,Tender,Modern day,Trains,9V,2001.0,39.0,0.0,11.0,51.0,26.0,,
4124-1,Advent Calendar,Model making,Creator,Seasonal,2001.0,231.0,0.0,15.0,40.0,32.0,4.0,1.0
4171-1,Spot and Friends,Model making,Creator,,2001.0,53.0,0.0,3.0,14.0,3.0,4.0,1.0
4172-1,Tina's House,Model making,Creator,,2001.0,43.0,1.0,4.0,9.0,3.0,3.0,1.0
4173-1,Max's Pitstop,Model making,Creator,,2001.0,58.0,1.0,7.0,9.0,4.0,4.0,1.0
4174-1,Max Goes Flying,Model making,Creator,,2001.0,172.0,1.0,15.0,36.0,,,
4175-1,Adventures with Max and Tina,Model making,Creator,,2001.0,217.0,2.0,20.0,37.0,,5.0,1.0
4176-1,The Race of the Year,Model making,Creator,,2001.0,323.0,3.0,25.0,44.0,,,
4177-1,Building Stories with Nana Bird,Model making,Creator,,2001.0,373.0,3.0,30.0,32.0,,,
4566-1,Gear,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,11.0,3.0,4.0,5.0
4567-1,Surfer,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,8.0,2.0,4.3,6.0
4568-1,Loopin,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,9.0,3.0,3.2,5.0
4569-1,Warrior,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,11.0,5.0,3.8,6.0
4570-1,Shredd,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,4.0,2.0,3.5,2.0
4571-1,Spiky,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,4.0,4.0,3.8,4.0
4572-1,Scratch,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,7.0,2.0,3.5,2.0
4573-1,Lightor,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,15.0,3.0,3.9,7.0
4574-1,Rip,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,16.0,2.0,4.0,3.0
4575-1,Pulse,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,16.0,4.0,3.3,3.0
4576-1,Duster,Racing,Racers,Xalax,2001.0,7.0,0.0,3.0,7.0,1.0,3.5,4.0
4577-1,Snake,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,7.0,5.0,4.3,4.0
4578-1,Ghost,Racing,Racers,Xalax,2001.0,8.0,0.0,3.0,17.0,4.0,5.0,1.0
4579-1,Freeze & Chill,Racing,Racers,Xalax,2001.0,114.0,0.0,20.0,32.0,,4.0,3.0
4701-1,Sorting Hat,Licensed,Harry Potter,Philosopher's Stone,2001.0,48.0,1.0,7.0,28.0,14.0,3.7,18.0
4702-1,The Final Challenge,Licensed,Harry Potter,Philosopher's Stone,2001.0,60.0,2.0,10.0,18.0,18.0,3.9,12.0
4704-1,The Room of the Winged Keys,Licensed,Harry Potter,Philosopher's Stone,2001.0,175.0,3.0,20.0,78.0,32.0,4.3,7.0
4705-1,Snape's Class,Licensed,Harry Potter,Philosopher's Stone,2001.0,163.0,3.0,20.0,89.0,32.0,4.4,11.0
4706-1,Forbidden Corridor,Licensed,Harry Potter,Philosopher's Stone,2001.0,238.0,3.0,30.0,116.0,46.0,4.0,10.0
4707-1,Hagrid's Hut,Licensed,Harry Potter,Philosopher's Stone,2001.0,299.0,2.0,30.0,146.0,49.0,4.3,6.0
4708-1,Hogwarts Express,Licensed,Harry Potter,Philosopher's Stone,2001.0,410.0,3.0,50.0,200.0,117.0,4.4,10.0
4709-1,Hogwarts Castle,Licensed,Harry Potter,Philosopher's Stone,2001.0,682.0,9.0,90.0,299.0,121.0,4.5,15.0
4721-1,Hogwarts Classrooms,Licensed,Harry Potter,Philosopher's Stone,2001.0,73.0,1.0,10.0,95.0,28.0,3.6,5.0
4722-1,Gryffindor House,Licensed,Harry Potter,Philosopher's Stone,2001.0,68.0,1.0,10.0,78.0,27.0,4.0,3.0
4723-1,Diagon Alley Shops,Licensed,Harry Potter,Philosopher's Stone,2001.0,80.0,1.0,10.0,97.0,29.0,3.8,5.0
5599-1,Radio Control Racer,Racing,Racers,,2001.0,295.0,1.0,80.0,80.0,45.0,,
6290-1,Red Beard Runner,Historical,Pirates,,2001.0,698.0,7.0,99.99,305.0,174.0,4.5,10.0
6291-1,Armada Flagship,Historical,Pirates,,2001.0,280.0,3.0,50.0,258.0,133.0,4.4,7.0
6292-1,Enchanted Island,Historical,Pirates,Islanders,2001.0,419.0,7.0,70.0,230.0,132.0,4.7,6.0
6472-1,Gas N' Wash Express,Modern day,Town,Shops and Services,2001.0,470.0,3.0,50.0,186.0,112.0,4.0,2.0
6771-1,Ogel Command Striker,Action/Adventure,Alpha Team,,2001.0,29.0,1.0,4.0,17.0,4.0,4.5,11.0
6772-1,Alpha Team Cruiser,Action/Adventure,Alpha Team,,2001.0,57.0,1.0,7.0,15.0,4.0,4.6,7.0
6773-1,Alpha Team Helicopter,Action/Adventure,Alpha Team,,2001.0,79.0,1.0,10.0,16.0,7.0,4.6,14.0
6774-1,Alpha Team ATV,Action/Adventure,Alpha Team,,2001.0,134.0,2.0,20.0,45.0,13.0,4.3,9.0
6775-1,Alpha Team Bomb Squad,Action/Adventure,Alpha Team,,2001.0,190.0,3.0,35.0,22.0,14.0,4.8,12.0
6776-1,Ogel Control Center,Action/Adventure,Alpha Team,,2001.0,422.0,3.0,50.0,132.0,44.0,4.3,6.0
7000-1,Baby Ankylosaurus,Action/Adventure,Dinosaurs,,2001.0,37.0,0.0,3.0,12.0,3.0,4.3,3.0
7001-1,Baby Iguanodon,Action/Adventure,Dinosaurs,,2001.0,23.0,0.0,3.0,10.0,3.0,4.3,3.0
7002-1,Baby Brachiosaurus,Action/Adventure,Dinosaurs,,2001.0,31.0,0.0,3.0,10.0,2.0,4.3,3.0
7003-1,Baby Dimetrodon,Action/Adventure,Dinosaurs,,2001.0,20.0,0.0,3.0,17.0,1.0,4.3,3.0
7106-1,Droid Escape,Licensed,Star Wars,Episode IV,2001.0,45.0,2.0,6.0,37.0,16.0,4.4,19.0
7126-1,Battle Droid Carrier,Licensed,Star Wars,Episode I,2001.0,133.0,7.0,10.0,45.0,22.0,4.8,18.0
7127-1,Imperial AT-ST,Licensed,Star Wars,Episode VI,2001.0,107.0,1.0,10.0,68.0,19.0,3.6,17.0
7146-1,TIE Fighter,Licensed,Star Wars,Episode IV,2001.0,171.0,2.0,20.0,80.0,26.0,4.3,15.0
7166-1,Imperial Shuttle,Licensed,Star Wars,Episode VI,2001.0,238.0,4.0,35.0,105.0,71.0,4.3,18.0
7186-1,Watto's Junkyard,Licensed,Star Wars,Episode I,2001.0,443.0,2.0,50.0,191.0,119.0,4.2,5.0
7300-1,Double Hover,Action/Adventure,Space,Life On Mars,2001.0,21.0,1.0,3.0,9.0,3.0,4.0,4.0
7301-1,Rover,Action/Adventure,Space,Life On Mars,2001.0,28.0,1.0,3.0,9.0,5.0,3.7,3.0
7302-1,Worker Robot,Action/Adventure,Space,Life On Mars,2001.0,30.0,1.0,3.0,12.0,5.0,3.4,5.0
7303-1,Jet Scooter,Action/Adventure,Space,Life On Mars,2001.0,24.0,1.0,,13.0,4.0,4.5,2.0
7308-1,Double Hover,Action/Adventure,Space,Life On Mars,2001.0,21.0,1.0,,16.0,4.0,4.0,3.0
7309-1,Rover,Action/Adventure,Space,Life On Mars,2001.0,28.0,1.0,,8.0,5.0,3.8,4.0
7310-1,Mono Jet,Action/Adventure,Space,Life On Mars,2001.0,33.0,1.0,4.0,18.0,3.0,4.0,12.0
7311-1,Red Planet Cruiser,Action/Adventure,Space,Life On Mars,2001.0,73.0,1.0,7.0,11.0,5.0,4.1,8.0
7312-1,T-3 Trike,Action/Adventure,Space,Life On Mars,2001.0,99.0,1.0,10.0,21.0,9.0,4.5,10.0
7313-1,Red Planet Protector,Action/Adventure,Space,Life On Mars,2001.0,194.0,1.0,20.0,33.0,13.0,4.4,7.0
7314-1,Recon Mech RP,Action/Adventure,Space,Life On Mars,2001.0,194.0,1.0,20.0,45.0,19.0,4.7,9.0
7315-1,Solar Explorer,Action/Adventure,Space,Life On Mars,2001.0,242.0,3.0,35.0,51.0,34.0,4.6,5.0
7316-1,Excavation Searcher,Action/Adventure,Space,Life On Mars,2001.0,471.0,3.0,50.0,53.0,28.0,4.0,4.0
7317-1,Aero Tube Hanger,Action/Adventure,Space,Life On Mars,2001.0,706.0,5.0,90.0,202.0,68.0,4.5,12.0
8007-1,C-3PO,Licensed,Star Wars,Technic,2001.0,341.0,0.0,35.0,103.0,42.0,3.0,2.0
8008-1,Stormtrooper,Licensed,Star Wars,Technic,2001.0,361.0,0.0,35.0,56.0,24.0,4.7,3.0
10000-1,Guarded Inn,Historical,Castle,Lion Knights,2001.0,253.0,4.0,25.0,172.0,103.0,4.9,7.0
10001-1,Metroliner,Modern day,Trains,9V,2001.0,782.0,11.0,149.0,575.0,307.0,4.5,4.0
10002-1,Railroad Club Car,Modern day,Trains,9V,2001.0,293.0,5.0,37.5,415.0,198.0,5.0,2.0
10013-1,Open Freight Wagon,Modern day,Trains,9V,2001.0,121.0,0.0,17.0,55.0,44.0,3.5,2.0
10014-1,Caboose,Modern day,Trains,9V,2001.0,170.0,0.0,15.0,68.0,44.0,4.0,3.0
10015-1,Green Passenger Wagon,Modern day,Trains,9V,2001.0,194.0,0.0,19.99,74.0,58.0,4.3,3.0
10016-1,Tanker,Modern day,Trains,9V,2001.0,128.0,0.0,20.0,102.0,52.0,3.0,2.0
10017-1,Hopper Wagon,Modern day,Trains,9V,2001.0,228.0,0.0,20.0,68.0,50.0,5.0,1.0
10018-1,Darth Maul,Licensed,Star Wars,Ultimate Collector Series,2001.0,1868.0,0.0,150.0,1497.0,687.0,4.3,3.0
10019-1,Rebel Blockade Runner,Licensed,Star Wars,Ultimate Collector Series,2001.0,1747.0,0.0,200.0,2243.0,576.0,4.3,13.0
1374-1,Green Goblin,Modern day,Studios,Spider-Man,2002.0,58.0,2.0,7.0,49.0,31.0,3.8,13.0
1376-1,Spider-Man Action Studio,Modern day,Studios,Spider-Man,2002.0,248.0,5.0,30.0,75.0,29.0,3.7,7.0
1380-1,Werewolf Ambush,Modern day,Studios,,2002.0,117.0,3.0,10.0,45.0,20.0,4.3,12.0
1381-1,Vampire's Crypt,Modern day,Studios,,2002.0,176.0,4.0,20.0,89.0,52.0,4.5,17.0
1382-1,Scary Laboratory,Modern day,Studios,,2002.0,493.0,6.0,50.0,141.0,40.0,4.9,10.0
1383-1,Curse of the Pharaoh,Modern day,Studios,,2002.0,51.0,2.0,4.0,25.0,16.0,4.9,12.0
3404-2,Black Team Transport (With LEGO Football),Modern day,Sports,Football,2002.0,127.0,0.0,,,,,
3420-1,Championship Challenge II,Modern day,Sports,Football,2002.0,388.0,12.0,50.0,166.0,55.0,4.0,2.0
3420-3,Championship Challenge II (L'Equipe de France Edition),Modern day,Sports,Football,2002.0,,12.0,,,99.0,,
3421-1,3 vs 3 Shootout,Modern day,Sports,Football,2002.0,225.0,6.0,30.0,126.0,30.0,3.0,1.0
3422-1,Shoot 'n' Save,Modern day,Sports,Football,2002.0,110.0,2.0,20.0,30.0,19.0,5.0,1.0
3423-1,Freekick Frenzy,Modern day,Sports,Football,2002.0,54.0,2.0,10.0,20.0,5.0,3.0,1.0
3424-1,Target Practice,Modern day,Sports,Football,2002.0,37.0,1.0,7.0,12.0,3.0,4.2,6.0
3425-1,US National Team Cup Edition Set,Modern day,Sports,Football,2002.0,548.0,22.0,90.0,200.0,85.0,4.5,2.0
3425-2,Grand Championship Cup ,Modern day,Sports,Football,2002.0,570.0,22.0,,,112.0,5.0,1.0
3739-1,Blacksmith Shop,Historical,Castle,My Own Creation,2002.0,619.0,2.0,40.0,245.0,128.0,5.0,9.0
4179-1,Creator Box Set,Model making,Creator,,2002.0,500.0,0.0,,28.0,,,
4297-1,Lightning Streak ,Racing,Racers,Drome Racers,2002.0,20.0,0.0,,8.0,3.0,,
4298-1,Blue Power ,Racing,Racers,Drome Racers,2002.0,24.0,0.0,,7.0,6.0,,
4524-1,Holiday Calendar,Model making,Creator,Seasonal,2002.0,231.0,0.0,15.0,50.0,8.0,4.0,1.0
4534-1,LEGO Express,Modern day,Trains,9V,2002.0,456.0,0.0,160.0,420.0,95.0,4.0,1.0
4535-1,LEGO Express Deluxe,Modern day,Trains,9V,2002.0,762.0,0.0,170.0,600.0,298.0,5.0,2.0
4582-1,Red Bullet,Racing,Racers,Drome Racers,2002.0,29.0,0.0,4.0,10.0,3.0,3.7,6.0
4583-1,Maverick Storm,Racing,Racers,Drome Racers,2002.0,38.0,0.0,4.0,10.0,3.0,4.3,4.0
4584-1,Hot Scorcher,Racing,Racers,Drome Racers,2002.0,57.0,1.0,10.0,13.0,5.0,4.8,6.0
4585-1,Nitro Pulverizer,Racing,Racers,Drome Racers,2002.0,60.0,1.0,10.0,16.0,4.0,4.8,6.0
4586-1,Stunt Race Track,Racing,Racers,Drome Racers,2002.0,168.0,0.0,20.0,,27.0,,
4587-1,Duel Racers,Racing,Racers,Drome Racers,2002.0,195.0,2.0,40.0,31.0,14.0,,
4588-1,Off-Road Race Track,Racing,Racers,Drome Racers,2002.0,359.0,0.0,50.0,60.0,35.0,3.0,4.0
4589-1,RC Nitro Flash,Racing,Racers,Drome Racers,2002.0,136.0,1.0,70.0,,52.0,3.0,1.0
4590-1,Flash Turbo,Racing,Racers,Drome Racers,2002.0,26.0,0.0,4.0,6.0,1.0,4.0,1.0
4591-1,Star Strike,Racing,Racers,Drome Racers,2002.0,28.0,0.0,4.0,3.0,3.0,3.8,5.0
4592-1,Red Monster,Racing,Racers,Drome Racers,2002.0,25.0,0.0,4.0,4.0,4.0,,
4593-1,Zero Hurricane and Red Blizzard,Racing,Racers,Drome Racers,2002.0,70.0,0.0,6.99,11.0,5.0,4.0,2.0
4594-1,Maverick Sprinter & Hot Arrow,Racing,Racers,Drome Racers,2002.0,66.0,0.0,7.0,10.0,4.0,3.5,4.0
4595-1,Zero Tornado & Hot Rock,Racing,Racers,Drome Racers,2002.0,71.0,0.0,10.0,15.0,5.0,5.0,1.0
4596-1,Storming Cobra,Racing,Racers,Drome Racers,2002.0,89.0,1.0,9.99,24.0,,,
4711-1,Flying Lesson,Licensed,Harry Potter,Philosopher's Stone,2002.0,23.0,2.0,4.0,23.0,9.0,3.8,16.0
4712-1,Troll on the Loose,Licensed,Harry Potter,Philosopher's Stone,2002.0,71.0,2.0,10.0,66.0,25.0,3.9,16.0
4714-1,Gringott's bank,Licensed,Harry Potter,Philosopher's Stone,2002.0,250.0,4.0,30.0,92.0,37.0,4.3,9.0
4726-1,Quidditch Practice,Licensed,Harry Potter,Chamber of Secrets,2002.0,128.0,3.0,13.0,68.0,23.0,3.8,10.0
4727-1,Aragog in the Dark Forest,Licensed,Harry Potter,Chamber of Secrets,2002.0,178.0,2.0,20.0,35.0,26.0,4.0,5.0
4728-1,Escape from Privet Drive,Licensed,Harry Potter,Chamber of Secrets,2002.0,278.0,3.0,30.0,580.0,54.0,4.6,14.0
4729-1,Dumbledore's Office,Licensed,Harry Potter,Chamber of Secrets,2002.0,446.0,3.0,50.0,348.0,73.0,4.8,9.0
4730-1,The Chamber of Secrets,Licensed,Harry Potter,Chamber of Secrets,2002.0,591.0,5.0,70.0,308.0,144.0,4.3,12.0
4731-1,Dobby's Release,Licensed,Harry Potter,Chamber of Secrets,2002.0,70.0,2.0,7.0,31.0,16.0,4.0,11.0
4733-1,The Dueling Club,Licensed,Harry Potter,Chamber of Secrets,2002.0,129.0,4.0,20.0,56.0,31.0,4.0,6.0
4735-1,Slytherin,Licensed,Harry Potter,Chamber of Secrets,2002.0,90.0,3.0,10.0,70.0,21.0,3.7,7.0
4788-1,Ogel Mutant Ray,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,68.0,2.0,10.0,32.0,13.0,5.0,1.0
4789-1,Alpha Team Aquatic Mech,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,162.0,1.0,,28.0,23.0,4.8,4.0
4790-1,Alpha Team Robot Diver,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,32.0,1.0,4.0,10.0,4.0,4.3,16.0
4791-1,Alpha Team Sub-Surface Scooter,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,42.0,1.0,7.0,30.0,5.0,4.0,6.0
4792-1,Alpha Team Navigator and ROV,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,111.0,1.0,10.0,28.0,9.0,4.6,9.0
4793-1,Ogel Shark Sub,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,115.0,3.0,20.0,28.0,11.0,4.0,8.0
4794-1,Alpha Team Command Sub,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,189.0,2.0,30.0,43.0,18.0,3.6,7.0
4795-1,Ogel Underwater Base and AT Sub,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,468.0,4.0,50.0,78.0,34.0,4.6,5.0
4796-1,Ogel Mutant Squid,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,62.0,1.0,10.0,20.0,12.0,4.5,6.0
4797-1,Ogel Mutant Killer Whale,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,57.0,1.0,10.0,29.0,11.0,4.0,7.0
4798-1,Evil Ogel Attack,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,21.0,1.0,3.0,8.0,4.0,3.6,5.0
4799-1,Ogel Drone Octopus,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,18.0,1.0,3.0,7.0,2.0,4.0,3.0
4800-1,AT Jet Sub,Action/Adventure,Alpha Team,Mission Deep Sea,2002.0,23.0,1.0,3.0,7.0,3.0,4.0,2.0
6636-1,Command Post Central,Modern day,Town,Police,2002.0,273.0,7.0,65.0,144.0,44.0,1.5,2.0
6731-1,Skateboarding Pepper,Racing,Island Xtreme Stunts,,2002.0,11.0,1.0,4.0,15.0,3.0,4.5,6.0
6732-1,Brickster's Trike,Racing,Island Xtreme Stunts,,2002.0,16.0,1.0,4.0,5.0,3.0,4.2,5.0
6733-1,Snap's Cruiser,Racing,Island Xtreme Stunts,,2002.0,19.0,1.0,4.0,11.0,1.0,3.8,4.0
6734-1,Beach Cruisers,Racing,Island Xtreme Stunts,,2002.0,53.0,2.0,7.0,12.0,8.0,4.0,3.0
6735-1,Air Chase,Racing,Island Xtreme Stunts,,2002.0,85.0,2.0,10.0,17.0,12.0,4.3,6.0
6736-1,Beach Lookout,Racing,Island Xtreme Stunts,,2002.0,87.0,2.0,13.0,21.0,8.0,4.8,8.0
6737-1,Wake Rider,Racing,Island Xtreme Stunts,,2002.0,93.0,2.0,13.0,17.0,8.0,4.0,2.0
6738-1,Skateboard Challenge,Racing,Island Xtreme Stunts,,2002.0,108.0,3.0,20.0,78.0,27.0,4.8,10.0
6739-1,Truck & Stunt Trikes,Racing,Island Xtreme Stunts,,2002.0,199.0,3.0,30.0,30.0,30.0,4.2,5.0
6740-1,Xtreme Tower,Racing,Island Xtreme Stunts,,2002.0,330.0,6.0,50.0,80.0,25.0,4.3,9.0
6762-1,Fort Legoredo,Historical,Western,Cowboys,2002.0,673.0,10.0,100.0,452.0,176.0,4.9,9.0
6763-1,Rapid River Village,Historical,Western,Indians,2002.0,343.0,7.0,70.0,329.0,116.0,4.7,3.0
6764-1,Sheriff's Lock-Up,Historical,Western,Cowboys,2002.0,171.0,4.0,30.0,107.0,45.0,5.0,3.0
7103-1,Jedi Duel,Licensed,Star Wars,Episode II,2002.0,82.0,2.0,10.0,32.0,20.0,4.4,44.0
7113-1,Tusken Raider Encounter,Licensed,Star Wars,Episode II,2002.0,93.0,3.0,10.0,39.0,18.0,4.5,35.0
7119-1,Twin-Pod Cloud Car,Licensed,Star Wars,Episode V,2002.0,118.0,1.0,10.0,19.0,14.0,4.0,22.0
7133-1,Bounty Hunter Pursuit,Licensed,Star Wars,Episode II,2002.0,259.0,3.0,30.0,123.0,61.0,4.6,17.0
7139-1,Ewok Attack,Licensed,Star Wars,Episode VI,2002.0,121.0,4.0,13.0,50.0,25.0,4.4,27.0
7142-1,X-wing Fighter,Licensed,Star Wars,Episode IV,2002.0,267.0,4.0,30.0,182.0,50.0,4.0,2.0
7143-1,Jedi Starfighter,Licensed,Star Wars,Episode II,2002.0,139.0,1.0,20.0,50.0,21.0,4.5,28.0
7152-1,TIE Fighter & Y-wing,Licensed,Star Wars,Episode IV,2002.0,410.0,3.0,50.0,234.0,96.0,4.3,3.0
7153-1,Jango Fett's Slave I,Licensed,Star Wars,Episode II,2002.0,360.0,2.0,50.0,284.0,115.0,4.6,32.0
7163-1,Republic Gunship,Licensed,Star Wars,Episode II,2002.0,693.0,8.0,90.0,248.0,188.0,4.7,32.0
7194-1,Yoda,Licensed,Star Wars,Ultimate Collector Series,2002.0,1075.0,0.0,100.0,596.0,231.0,3.7,3.0
7200-1,Final Duel I,Licensed,Star Wars,Episode VI,2002.0,31.0,2.0,7.0,56.0,18.0,4.1,26.0
7201-1,Final Duel II,Licensed,Star Wars,Episode VI,2002.0,26.0,3.0,7.0,26.0,12.0,4.2,33.0
7203-1,Jedi Defense I,Licensed,Star Wars,Episode I,2002.0,59.0,3.0,7.0,31.0,16.0,4.5,26.0
7204-1,Jedi Defense II,Licensed,Star Wars,Episode I,2002.0,53.0,3.0,7.0,31.0,14.0,4.4,18.0
8009-1,R2-D2,Licensed,Star Wars,Technic,2002.0,240.0,0.0,20.0,58.0,22.0,5.0,4.0
8010-1,Darth Vader,Licensed,Star Wars,Technic,2002.0,391.0,0.0,40.0,86.0,40.0,3.6,5.0
8011-1,Jango Fett,Licensed,Star Wars,Technic,2002.0,422.0,0.0,30.0,43.0,20.0,4.7,6.0
8012-1,Super Battle Droid,Licensed,Star Wars,Technic,2002.0,379.0,0.0,35.0,45.0,25.0,4.5,4.0
8461-1,Williams F1 Team Racer,Racing,Racers,Williams F1,2002.0,1484.0,0.0,129.99,695.0,232.0,4.8,6.0
8468-1,Power Crusher,Racing,Racers,Drome Racers,2002.0,92.0,0.0,8.0,10.0,3.0,3.7,3.0
8469-1,Slammer Raptor,Racing,Racers,Drome Racers,2002.0,144.0,0.0,10.0,20.0,5.0,5.0,1.0
8470-1,Slammer G-Force,Racing,Racers,Drome Racers,2002.0,148.0,0.0,15.0,35.0,8.0,,
8471-1,Nitro Burner,Racing,Racers,Drome Racers,2002.0,119.0,0.0,20.0,,7.0,3.0,1.0
8472-1,Street 'n' Mud Racer,Racing,Racers,Drome Racers,2002.0,347.0,0.0,69.99,89.0,36.0,,
8473-1,Nitro Race Team,Racing,Racers,Drome Racers,2002.0,500.0,0.0,50.0,85.0,57.0,,
8475-1,RC Race Buggy,Racing,Racers,Drome Racers,2002.0,283.0,0.0,130.0,,270.0,4.7,3.0
10020-1,Santa Fe Super Chief,Modern day,Trains,9V,2002.0,435.0,2.0,40.0,305.0,202.0,4.8,13.0
10022-1,Santa Fe Cars - Set II,Modern day,Trains,9V,2002.0,411.0,0.0,35.0,466.0,255.0,4.3,3.0
10024-1,Red Baron,Model making,Creator Expert,Aircraft,2002.0,664.0,0.0,50.0,264.0,206.0,4.7,3.0
10025-1,Santa Fe Cars - Set I,Modern day,Trains,9V,2002.0,326.0,0.0,35.0,283.0,194.0,5.0,2.0
10026-1,Special Edition Naboo Starfighter,Licensed,Star Wars,Ultimate Collector Series,2002.0,187.0,0.0,40.0,671.0,250.0,4.3,6.0
10030-1,Imperial Star Destroyer,Licensed,Star Wars,Ultimate Collector Series,2002.0,3096.0,0.0,269.99,1525.0,699.0,4.7,34.0
10036-1,Pizza-To-Go,Modern day,Town,Shops and Services,2002.0,151.0,3.0,20.0,120.0,41.0,5.0,7.0
10037-1,Breezeway Café,Modern day,Town,Shops and Services,2002.0,183.0,5.0,23.0,110.0,30.0,4.3,4.0
10039-1,Black Falcon's Fortress,Historical,Castle,Black Falcons,2002.0,426.0,6.0,40.0,341.0,177.0,4.5,4.0
10040-1,Black Seas Barracuda,Historical,Pirates,,2002.0,906.0,8.0,90.0,639.0,245.0,4.8,8.0
10075-1,Spider-Man Action Pack,Modern day,Studios,Spider-Man,2002.0,25.0,0.0,7.0,190.0,39.0,,
10153-1,Train Motor 9 V,Modern day,Trains,9V,2002.0,3.0,0.0,24.99,99.0,61.0,5.0,2.0
10205-1,"Large Train Engine with Tender, Black ",Modern day,Trains,9V,2002.0,232.0,0.0,,175.0,78.0,,
3223-1,Little Fish,Model making,Creator,Designer Set,2003.0,43.0,0.0,,6.0,4.0,3.3,3.0
3420-2,Championship Challenge II (Bayern Munich FC Edition),Modern day,Sports,Football,2003.0,389.0,12.0,,,,,
3422-2,Shoot 'n' Save (Bayern Munich FC Edition),Modern day,Sports,Football,2003.0,110.0,2.0,,,,,
3427-1,NBA Slam Dunk,Modern day,Sports,Basketball,2003.0,53.0,1.0,8.0,15.0,9.0,2.8,4.0
3428-1,One vs One Action,Modern day,Sports,Basketball,2003.0,39.0,2.0,10.0,31.0,30.0,3.3,4.0
3429-1,Ultimate Defense,Modern day,Sports,Basketball,2003.0,82.0,2.0,15.0,26.0,15.0,3.0,1.0
3430-1,Spin & Shoot,Modern day,Sports,Basketball,2003.0,71.0,2.0,,35.0,24.0,,
3431-1,Street Ball 2 vs 2,Modern day,Sports,Basketball,2003.0,186.0,4.0,20.0,55.0,25.0,4.3,4.0
3432-1,NBA Challenge,Modern day,Sports,Basketball,2003.0,451.0,10.0,50.0,135.0,61.0,5.0,3.0
3433-1,The Ultimate NBA Arena,Modern day,Sports,Basketball,2003.0,491.0,10.0,80.0,277.0,140.0,5.0,4.0
3440-1,NBA Jam Session Co-Pack,Modern day,Sports,Basketball,2003.0,70.0,2.0,20.0,,,4.0,1.0
3535-1,Skateboard Street Park,Modern day,Sports,Gravity Games,2003.0,69.0,1.0,10.0,25.0,11.0,2.7,3.0
