set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
41069-1,Treasure's Day at the Pool,Licensed,Disney,Palace Pets,2016.0,70.0,0.0,5.99,8.0,3.0,3.0,1.0
41140-1,Daisy's Beauty Salon,Licensed,Disney,Palace Pets,2016.0,98.0,0.0,9.99,10.0,7.0,,
41141-1,Pumpkin's Royal Carriage,Licensed,Disney,Palace Pets,2016.0,79.0,0.0,9.99,15.0,,3.0,1.0
41142-1,Palace Pets Royal Castle,Licensed,Disney,Palace Pets,2016.0,186.0,0.0,19.99,25.0,11.0,,
41171-1,Emily Jones & the Baby Wind Dragon,Action/Adventure,Elves,,2016.0,80.0,1.0,9.99,32.0,20.0,3.5,2.0
41172-1,The Water Dragon Adventure,Action/Adventure,Elves,,2016.0,212.0,1.0,19.99,38.0,26.0,4.0,2.0
41173-1,Elvendale School of Dragons,Action/Adventure,Elves,,2016.0,230.0,1.0,19.99,44.0,30.0,,
41174-1,The Starlight Inn,Action/Adventure,Elves,,2016.0,343.0,2.0,29.99,76.0,59.0,5.0,1.0
41175-1,Fire Dragon's Lava Cave,Action/Adventure,Elves,,2016.0,441.0,2.0,39.99,53.0,43.0,5.0,1.0
41176-1,The Secret Market Place,Action/Adventure,Elves,,2016.0,691.0,2.0,59.99,105.0,78.0,5.0,1.0
41177-1,The Precious Crystal Mine,Action/Adventure,Elves,,2016.0,273.0,2.0,29.99,34.0,26.0,,
41178-1,The Dragon Sanctuary,Action/Adventure,Elves,,2016.0,585.0,2.0,49.99,123.0,134.0,,
41179-1,Queen Dragon's Rescue,Action/Adventure,Elves,,2016.0,833.0,2.0,69.99,120.0,112.0,,
41180-1,Ragana's Magic Shadow Castle,Action/Adventure,Elves,,2016.0,1014.0,3.0,99.99,101.0,87.0,5.0,4.0
41490-1,Superman & Wonder Woman,Licensed,BrickHeadz,DC Comics Super Heroes,2016.0,220.0,0.0,39.99,795.0,,,
41491-1,Batman & The Joker,Licensed,BrickHeadz,DC Comics Super Heroes,2016.0,212.0,0.0,39.99,538.0,280.0,,
41492-1,Iron Man & Captain America,Licensed,BrickHeadz,Marvel Super Heroes,2016.0,184.0,0.0,39.99,542.0,350.0,,
41493-1,Black Panther & Doctor Strange,Licensed,BrickHeadz,Marvel Super Heroes,2016.0,173.0,0.0,39.99,419.0,,,
60100-1,Airport Starter Set,Modern day,City,Airport,2016.0,81.0,4.0,9.99,10.0,4.0,4.0,3.0
60101-1,Airport Cargo Plane,Modern day,City,Airport,2016.0,157.0,2.0,24.99,29.0,16.0,4.0,4.0
60102-1,Airport VIP Service,Modern day,City,Airport,2016.0,364.0,4.0,49.99,61.0,43.0,3.0,1.0
60103-1,Airport Air Show,Modern day,City,Airport,2016.0,670.0,6.0,89.99,63.0,61.0,5.0,3.0
60104-1,Airport Passenger Terminal,Modern day,City,Airport,2016.0,694.0,6.0,99.99,162.0,98.0,2.0,1.0
60105-1,Fire ATV,Modern day,City,Fire,2016.0,64.0,1.0,6.99,6.0,4.0,4.0,2.0
60106-1,Fire Starter Set,Modern day,City,Fire,2016.0,90.0,4.0,9.99,10.0,5.0,4.3,3.0
60107-1,Fire Ladder Truck,Modern day,City,Fire,2016.0,214.0,2.0,24.99,21.0,12.0,4.3,4.0
60108-1,Fire Response Unit,Modern day,City,Fire,2016.0,257.0,3.0,39.99,26.0,21.0,4.7,3.0
60109-1,Fire Boat,Modern day,City,Fire,2016.0,412.0,5.0,79.99,67.0,35.0,,
60110-1,Fire Station,Modern day,City,Fire,2016.0,919.0,6.0,99.99,89.0,57.0,4.0,1.0
60111-1,Fire Utility Truck,Modern day,City,Fire,2016.0,368.0,3.0,39.99,40.0,19.0,5.0,1.0
60112-1,Fire Engine,Modern day,City,Fire,2016.0,376.0,3.0,49.99,73.0,40.0,4.5,2.0
60113-1,Rally Car,Modern day,City,Great Vehicles,2016.0,104.0,1.0,9.99,13.0,9.0,4.0,3.0
60114-1,Race Boat,Modern day,City,Great Vehicles,2016.0,95.0,1.0,9.99,10.0,5.0,4.0,3.0
60115-1,4 x 4 Off Roader,Modern day,City,Great Vehicles,2016.0,176.0,2.0,19.99,20.0,11.0,5.0,3.0
60116-1,Ambulance Plane,Modern day,City,Medical,2016.0,183.0,3.0,19.99,24.0,13.0,4.4,5.0
60117-1,Van & Caravan,Modern day,City,Great Vehicles,2016.0,250.0,2.0,19.99,20.0,13.0,4.6,10.0
60118-1,Garbage Truck,Modern day,City,Great Vehicles,2016.0,248.0,2.0,19.99,45.0,28.0,4.8,5.0
60119-1,Ferry,Modern day,City,Great Vehicles,2016.0,301.0,2.0,29.99,26.0,16.0,4.5,6.0
60120-1,Volcano Starter Set,Modern day,City,Volcano Explorers,2016.0,83.0,4.0,9.99,10.0,9.0,4.5,2.0
60121-1,Volcano Exploration Truck,Modern day,City,Volcano Explorers,2016.0,175.0,2.0,24.99,19.0,9.0,4.5,2.0
60122-1,Volcano Crawler,Modern day,City,Volcano Explorers,2016.0,324.0,3.0,39.99,27.0,22.0,4.0,3.0
60123-1,Volcano Supply Helicopter,Modern day,City,Volcano Explorers,2016.0,330.0,3.0,49.99,36.0,19.0,4.0,1.0
