set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging
4554-1,Metro Station,/sets/4554-1/Metro-Station,Modern day,Trains,9V,1991.0,600.0,8.0,,/minifigs/inset-4554-1,72.0,378.0,161.0,5.0,2.0,"Coffee Machine, Lamppost, Mail, Railway Building, Raised Baseplate, Restaurant, Trackside Structure, Trailer, Train Station",Normal,Box
4558-1,Metroliner,/sets/4558-1/Metroliner,Modern day,Trains,9V,1991.0,784.0,11.0,,/minifigs/inset-4558-1,149.0,1140.0,266.0,4.9,9.0,"9V, Bedroom, Bicycle, Electric, Electric Locomotive, Electric Motor, Lamppost, Light Brick, Metroliner, Multibuild, Passenger Coach, Passenger Train, Public Transport, Trackside Structure, Train Track",Normal,Box
4563-1,Load 'N Haul Railroad,/sets/4563-1/Load-N-Haul-Railroad,Modern day,Trains,9V,1991.0,476.0,3.0,,/minifigs/inset-4563-1,120.0,552.0,162.0,5.0,5.0,"4X8 Container, 9V, Diesel Locomotive, Electric, Electric Motor, Forklift, Freight Train, Freight Wagon, Motorcycle, Multibuild, Power Adapter, Sliding Door, Tractor, Train Track",Normal,Box
5042-1,"Space Light and Radar Plates, Disks and Cones (Transparent Lights)",/sets/5042-1/Space-Light-and-Radar-Plates-Disks-and-Cones-(Transparent-Lights),Miscellaneous,Service Packs,,1991.0,50.0,0.0,,,2.5,11.0,,,,Polybag,Normal,Polybag
5043-1,"Mini Antennas, Control Sticks and Antennas",/sets/5043-1/Mini-Antennas-Control-Sticks-and-Antennas,Miscellaneous,Service Packs,,1991.0,26.0,0.0,,,2.5,17.0,,,,Polybag,Normal,Polybag
5044-1,Harbour Base with Slipway,/sets/5044-1/Harbour-Base-with-Slipway,Miscellaneous,Service Packs,Town,1991.0,3.0,0.0,,,,33.0,5.0,,,Polybag,Normal,Polybag
5045-1,"Magnets, Magnet Holders",/sets/5045-1/Magnets-Magnet-Holders,Miscellaneous,Service Packs,,1991.0,12.0,0.0,,,,22.0,,,,Polybag,Normal,Polybag
5046-1,"Wheels, Tyres and Spring Suspension",/sets/5046-1/Wheels-Tyres-and-Spring-Suspension,Miscellaneous,Service Packs,,1991.0,10.0,0.0,,,,6.0,,,,Polybag,Normal,Polybag
5099-1,Pneumatic Valves,/sets/5099-1/Pneumatic-Valves,Miscellaneous,Service Packs,Technic,1991.0,1.0,0.0,,,2.25,6.0,1.0,,,"Pneumatic, Polybag",Normal,Polybag
5114-1,Motor 9V,/sets/5114-1/Motor-9V,Miscellaneous,Service Packs,,1991.0,1.0,0.0,,,16.0,17.0,10.0,,,"9V, Electric Motor, Polybag",Normal,Polybag
5115-1,Battery Box 9V,/sets/5115-1/Battery-Box-9V,Miscellaneous,Service Packs,,1991.0,1.0,0.0,,,11.0,36.0,10.0,,,"9V, Electric, Polybag",Normal,Polybag
5118-1,Flex System Elements,/sets/5118-1/Flex-System-Elements,Miscellaneous,Service Packs,Technic,1991.0,35.0,0.0,,,,31.0,,,,"Flex System, Polybag",Normal,Polybag
5153-1,Plane Accessories,/sets/5153-1/Plane-Accessories,Miscellaneous,Service Packs,Town,1991.0,23.0,0.0,,,,8.0,,,,Polybag,Normal,Polybag
5154-1,Decorated Elements,/sets/5154-1/Decorated-Elements,Miscellaneous,Service Packs,,1991.0,26.0,0.0,,,,28.0,,,,Polybag,Normal,Polybag
5155-1,"Sloping Frames, Space Wings, Motors and Seats",/sets/5155-1/Sloping-Frames-Space-Wings-Motors-and-Seats,Miscellaneous,Service Packs,,1991.0,19.0,0.0,,,3.5,14.0,,,,Polybag,Normal,Polybag
5156-1,Transparent Bricks,/sets/5156-1/Transparent-Bricks,Miscellaneous,Service Packs,,1991.0,17.0,0.0,,,3.5,13.0,,5.0,1.0,Polybag,Normal,Polybag
5157-1,Town and Space Tools,/sets/5157-1/Town-and-Space-Tools,Miscellaneous,Service Packs,,1991.0,32.0,0.0,,,3.5,12.0,,,,Polybag,Normal,Polybag
5158-1,Runway T-Junction and Circle Base Plates,/sets/5158-1/Runway-T-Junction-and-Circle-Base-Plates,Miscellaneous,Service Packs,Town,1991.0,2.0,0.0,,,6.0,16.0,13.0,,,"Baseplate, Polybag",Normal,Polybag
5159-1,Two Straight Airport Runways,/sets/5159-1/Two-Straight-Airport-Runways,Miscellaneous,Service Packs,Town,1991.0,2.0,0.0,,,6.0,,,,,"Airport, Baseplate, Polybag",Normal,Polybag
5164-1,"Hinges, Turntables and Couplings",/sets/5164-1/Hinges-Turntables-and-Couplings,Miscellaneous,Service Packs,,1991.0,17.0,0.0,,,2.5,12.0,,,,Polybag,Normal,Polybag
5165-1,"Hinges, Couplings and Tilting Bearings",/sets/5165-1/Hinges-Couplings-and-Tilting-Bearings,Miscellaneous,Service Packs,,1991.0,31.0,0.0,/inventories/5165-1,,3.0,12.0,,,,Polybag,Normal,Polybag
5166-1,"Lamp Holders, Tool Holder Plates",/sets/5166-1/Lamp-Holders-Tool-Holder-Plates,Miscellaneous,Service Packs,,1991.0,18.0,0.0,,,,3.0,,,,Polybag,Normal,Polybag
5271-1,Tyres and Hubs 49.6 mm White,/sets/5271-1/Tyres-and-Hubs-49-6-mm-White,Miscellaneous,Service Packs,,1991.0,4.0,0.0,,,,5.0,,,,Polybag,Normal,Polybag
5272-1,Cylinder Motor,/sets/5272-1/Cylinder-Motor,Miscellaneous,Service Packs,Technic,1991.0,9.0,0.0,/inventories/5272-1,,3.0,2.0,,,,Polybag,Normal,Polybag
5300-1,Train Motor 9V,/sets/5300-1/Train-Motor-9V,Miscellaneous,Service Packs,Trains,1991.0,3.0,0.0,/inventories/5300-1,,25.0,91.0,38.0,,,"9V, Electric, Electric Motor, Polybag, Train Accessory",Normal,Polybag
5550-1,Custom Rally Van,/sets/5550-1/Custom-Rally-Van,Model making,Model Team,,1991.0,525.0,0.0,,,49.5,197.0,55.0,4.5,4.0,"12 Wide Car, Functional Steering, Rally Car, Van",Normal,Box
6234-1,Renegade's Raft,/sets/6234-1/Renegade-s-Raft,Historical,Pirates,,1991.0,38.0,1.0,,/minifigs/inset-6234-1,3.25,30.0,6.0,3.8,11.0,"First Mate Rummy, Raft, Shark",Normal,Box
6259-1,Broadside's Brig,/sets/6259-1/Broadside-s-Brig,Historical,Pirates,Imperial Guards,1991.0,68.0,3.0,,/minifigs/inset-6259-1,8.75,140.0,22.0,4.4,9.0,"Lieutenant de Martinet, Parrot",Normal,Box
6267-1,Lagoon Lock-Up,/sets/6267-1/Lagoon-Lock-Up,Historical,Pirates,Imperial Guards,1991.0,193.0,5.0,,/minifigs/inset-6267-1,29.0,225.0,64.0,4.9,12.0,"Bo'sun Will, Captain Red Beard, Lieutenant de Martinet, Baseplate, Boat, Parrot, Rowing Boat",Normal,Box
6273-1,Rock Island Refuge,/sets/6273-1/Rock-Island-Refuge,Historical,Pirates,,1991.0,381.0,7.0,,/minifigs/inset-6273-1,66.0,878.0,157.0,4.4,8.0,"Captain Red Beard, First Mate Rummy, Lieutenant de Martinet, Baseplate, Boat, Crane, Criminal Hideout, Island, Jungle Bridge, Monkey, Parrot, Raft, Raised Baseplate, Rowing Boat, Shark",Normal,Box
6347-1,Monorail Accessory Track,/sets/6347-1/Monorail-Accessory-Track,Modern day,Town,Monorail,1991.0,54.0,0.0,,,35.0,360.0,213.0,5.0,2.0,Monorail,Normal,Box
6352-1,Cargomaster Crane,/sets/6352-1/Cargomaster-Crane,Modern day,Town,Vehicles,1991.0,140.0,1.0,,/minifigs/inset-6352-1,,133.0,21.0,4.8,4.0,"4X8 Container, Crane, Mobile Crane, Tractor",Normal,Box
6353-1,Coastal Cutter,/sets/6353-1/Coastal-Cutter,Modern day,Town,Coastguard,1991.0,185.0,2.0,,/minifigs/inset-6353-1,19.0,99.0,18.0,4.5,6.0,"Boat, Coast Guard, Speedboat",Normal,Box
6430-1,Night Patroller,/sets/6430-1/Night-Patroller,Modern day,Town,Police,1991.0,140.0,1.0,,/minifigs/inset-6430-1,25.0,186.0,27.0,4.3,6.0,"9V, Electric, Light And Sound System, Police, Police Car",Normal,Box
6440-1,Jetport Fire Squad,/sets/6440-1/Jetport-Fire-Squad,Modern day,Town,Fire,1991.0,159.0,2.0,,/minifigs/inset-6440-1,27.5,227.0,35.0,5.0,2.0,"9V, Airport, Electric, Fire Truck, Light And Sound System, Truck",Normal,Box
6509-1,Red Devil Racer,/sets/6509-1/Red-Devil-Racer,Modern day,Town,Racing,1991.0,39.0,1.0,,/minifigs/inset-6509-1,,22.0,4.0,4.5,4.0,"Racing, Racing Car",Normal,Box
6510-1,Mud Runner,/sets/6510-1/Mud-Runner,Modern day,Town,Vehicles,1991.0,34.0,1.0,,/minifigs/inset-6510-1,3.25,40.0,4.0,3.5,4.0,"Off Roader, Racing, Racing Car",Normal,Box
6531-1,Flame Chaser,/sets/6531-1/Flame-Chaser,Modern day,Town,Fire,1991.0,55.0,1.0,,/minifigs/inset-6531-1,,41.0,5.0,3.0,2.0,"Aircraft, Fire, Fire Helicopter, Helicopter, Propeller Aircraft",Normal,Box
6532-1,Diesel Dumper,/sets/6532-1/Diesel-Dumper,Modern day,Town,Construction,1991.0,46.0,1.0,,/minifigs/inset-6532-1,,30.0,6.0,3.0,3.0,"Articulated Lorry, Construction, Dump Truck, Tipper Truck",Normal,Box
6540-1,Pier Police,/sets/6540-1/Pier-Police,Modern day,Town,Police,1991.0,352.0,4.0,,/minifigs/inset-6540-1,44.0,205.0,56.0,4.3,8.0,"Boat, Harbour, Motorcycle, Police, Police Boat, Police Car, Police Ship, Police Station, Raised Baseplate",Normal,Box
6541-1,Intercoastal Seaport,/sets/6541-1/Intercoastal-Seaport,Modern day,Town,Boats,1991.0,545.0,5.0,,/minifigs/inset-6541-1,63.75,372.0,113.0,5.0,5.0,"4X8 Container, Articulated Lorry, Bicycle, Boat, Cargo Ship, Crane, Harbour, Motorcycle, Raised Baseplate, Tractor, Trailer, Truck",Normal,Box
6542-1,Launch & Load Seaport,/sets/6542-1/Launch-Load-Seaport,Modern day,Town,Boats,1991.0,1080.0,7.0,,/minifigs/inset-6542-1,,565.0,171.0,5.0,9.0,"4X8 Container, Articulated Lorry, Boat, Cargo Ship, Crane, Forklift, Harbour, Raised Baseplate, Tractor, Trailer, Truck",Normal,Box
6593-1,Blaze Battler,/sets/6593-1/Blaze-Battler,Modern day,Town,Fire,1991.0,126.0,1.0,,/minifigs/inset-6593-1,,79.0,14.0,4.3,4.0,"Fire, Fire Truck, Trailer, Truck",Normal,Box
6645-1,Street Sweeper,/sets/6645-1/Street-Sweeper,Modern day,Town,Maintenance,1991.0,65.0,2.0,,/minifigs/inset-6645-1,,,9.0,4.0,5.0,"Road Sweeper, Service Vehicle",Normal,Box
6646-1,Screaming Patriot,/sets/6646-1/Screaming-Patriot,Modern day,Town,Racing,1991.0,65.0,1.0,,/minifigs/inset-6646-1,6.75,36.0,5.0,4.0,4.0,"Hot Rod, Racing, Racing Car",Normal,Box
6669-1,Diesel Daredevil,/sets/6669-1/Diesel-Daredevil,Modern day,Town,Vehicles,1991.0,90.0,1.0,,/minifigs/inset-6669-1,8.75,40.0,7.0,4.7,3.0,"Racing, Racing Car, Truck",Normal,Box
6679-1,Dark Shark,/sets/6679-1/Dark-Shark,Modern day,Town,Boats,1991.0,83.0,2.0,,/minifigs/inset-6679-1,7.74,39.0,5.0,4.2,9.0,"Boat, Powerboat, Racing",Normal,Box
6704-1,Minifig Pack,/sets/6704-1/Minifig-Pack,Action/Adventure,Space,Miscellaneous,1991.0,44.0,6.0,,/minifigs/inset-6704-1,,77.0,15.0,4.5,4.0,"Blacktron, Minifigure Pack",Normal,Box
6710-1,Space Landing Pads,/sets/6710-1/Space-Landing-Pads,Action/Adventure,Space,Blacktron 2,1991.0,2.0,0.0,,,,40.0,30.0,4.0,1.0,"Landing Pad, Road Baseplate",Normal,Shrink-wrapped
6812-1,Grid Trekkor,/sets/6812-1/Grid-Trekkor,Action/Adventure,Space,Blacktron 2,1991.0,25.0,1.0,,/minifigs/inset-6812-1,,36.0,6.0,4.5,8.0,Ground Vehicle,Normal,Box
6832-1,Super Nova II,/sets/6832-1/Super-Nova-II,Action/Adventure,Space,Blacktron 2,1991.0,42.0,1.0,,/minifigs/inset-6832-1,,24.0,8.0,4.2,5.0,Spaceship,Normal,Box
6851-1,Tri-Wheeled Tyrax,/sets/6851-1/Tri-Wheeled-Tyrax,Action/Adventure,Space,Blacktron 2,1991.0,39.0,1.0,,/minifigs/inset-6851-1,,68.0,8.0,3.0,6.0,Ground Vehicle,Normal,Box
6862-1,Secret Space Voyager,/sets/6862-1/Secret-Space-Voyager,Action/Adventure,Space,M-Tron,1991.0,254.0,3.0,,/minifigs/inset-6862-1,,,85.0,5.0,1.0,"Converts, Ground Vehicle, Spaceship",Normal,Other
6878-1,Sub Orbital Guardian,/sets/6878-1/Sub-Orbital-Guardian,Action/Adventure,Space,Blacktron 2,1991.0,69.0,1.0,,/minifigs/inset-6878-1,8.0,61.0,15.0,5.0,3.0,"Ground Vehicle, Walker",Normal,Box
6887-1,Allied Avenger,/sets/6887-1/Allied-Avenger,Action/Adventure,Space,Blacktron 2,1991.0,100.0,1.0,,/minifigs/inset-6887-1,7.93,101.0,22.0,5.0,4.0,Spaceship,Normal,Box
6933-1,Spectral Starguider,/sets/6933-1/Spectral-Starguider,Action/Adventure,Space,Blacktron 2,1991.0,208.0,2.0,,/minifigs/inset-6933-1,25.0,197.0,50.0,4.4,8.0,"Converts, Ground Vehicle",Normal,Box
6981-1,Aerial Intruder,/sets/6981-1/Aerial-Intruder,Action/Adventure,Space,Blacktron 2,1991.0,267.0,2.0,,/minifigs/inset-6981-1,,234.0,56.0,4.4,10.0,"Ground Vehicle, Spaceship",Normal,Box
6988-1,Alpha Centauri Outpost,/sets/6988-1/Alpha-Centauri-Outpost,Action/Adventure,Space,Blacktron 2,1991.0,406.0,5.0,,/minifigs/inset-6988-1,80.0,300.0,149.0,3.8,6.0,"9V, Base, Baseplate, Ground Vehicle, Light And Sound System, Raised Baseplate, Road Baseplate, Spaceship",Normal,Box
8074-1,Universal Set with Flex System,/sets/8074-1/Universal-Set-with-Flex-System,Technical,Technic,Universal,1991.0,313.0,0.0,,,,186.0,55.0,4.0,1.0,"Construction, Crane, Flex System, Forklift, Truck",Normal,Box
8810-1,Cafe Racer,/sets/8810-1/Cafe-Racer,Technical,Technic,,1991.0,80.0,0.0,,,10.0,34.0,4.0,3.7,3.0,"Functional Steering, Motor Trike, Motorcycle, Sprung",Normal,Box
8815-1,Speedway Bandit,/sets/8815-1/Speedway-Bandit,Technical,Technic,,1991.0,78.0,0.0,,,,25.0,8.0,4.5,4.0,"Construction, Functional Steering, Go Kart, Racing, Steam Roller",Normal,Box
8820-1,Mountain Rambler,/sets/8820-1/Mountain-Rambler,Technical,Technic,,1991.0,139.0,0.0,,,,27.0,11.0,4.0,1.0,"Convertible, Dune Buggy, Functional Steering, Off Roader",Normal,Box
8838-1,Shock Cycle,/sets/8838-1/Shock-Cycle,Technical,Technic,,1991.0,251.0,0.0,,,29.75,104.0,21.0,4.3,4.0,"Functional Steering, Motor Trike, Motorcycle",Normal,Box
8856-1,Whirlwind Rescue,/sets/8856-1/Whirlwind-Rescue,Technical,Technic,,1991.0,517.0,0.0,,,,108.0,37.0,4.3,4.0,"Airboat, Aircraft, Flagship Set, Flex System, Helicopter, Hovercraft",Normal,Box
8891-1,Designer's Manual,/sets/8891-1/Designer-s-Manual,Miscellaneous,Books,LEGO,1991.0,1.0,0.0,,,9.5,,,5.0,1.0,"Lego Ideas Book, Technic",Book,None (loose parts)
9353-1,Theme Set,/sets/9353-1/Theme-Set,Educational,Dacta,Town,1991.0,924.0,0.0,,,,,51.0,,,"Baseplate, Bicycle, Car, House, Motorcycle, Police, Tow Truck",Normal,Plastic box
9354-1,Town Street Theme,/sets/9354-1/Town-Street-Theme,Educational,Dacta,Town,1991.0,496.0,0.0,,,,,,,,"Ambulance, Bus, Construction, Dump Truck, Fire, Fire Truck, Front Loader, Mail, Medical, Motorcycle, Pedestrian Crossing, Police, Police Car, Post, Refuse Truck, Road Baseplate, School, Service Vehicle, Van",Normal,Plastic box
9361-1,People,/sets/9361-1/People,Educational,Dacta,,1991.0,36.0,24.0,,/minifigs/inset-9361-1,,249.0,,,,"Bicycle, Construction, Fire, Mail, Minifigure Pack, Motorcycle, Police, Post",Normal,
9362-1,Road plates,/sets/9362-1/Road-plates,Educational,Dacta,,1991.0,8.0,0.0,,,,,54.0,,,"Baseplate, Pedestrian Crossing, Road Baseplate",Normal,
845-1,"Battery Motor, 9V",/sets/845-1/Battery-Motor-9V,Basic,Basic,Supplementaries,1992.0,27.0,0.0,/inventories/845-1,,,23.0,20.0,5.0,1.0,"9V, Electric Motor",Normal,Box
846-1,"Lighting Set, 9V",/sets/846-1/Lighting-Set-9V,Basic,Basic,Supplementaries,1992.0,39.0,0.0,/inventories/846-1,,18.0,61.0,16.0,5.0,1.0,"9V, Light And Sound System",Normal,Box
1461-1,Turbo Force,/sets/1461-1/Turbo-Force,Modern day,Town,Racing,1992.0,31.0,1.0,,/minifigs/inset-1461-1,,11.0,8.0,3.0,1.0,"Polybag, Racing, Racing Car",Normal,Polybag
1462-1,Galactic Scout,/sets/1462-1/Galactic-Scout,Action/Adventure,Space,Blacktron 2,1992.0,23.0,1.0,,/minifigs/inset-1462-1,2.0,20.0,9.0,3.4,5.0,"Polybag, Spaceship",Normal,Polybag
1463-1,Treasure Cart,/sets/1463-1/Treasure-Cart,Historical,Castle,Crusaders,1992.0,23.0,1.0,,/minifigs/inset-1463-1,2.0,28.0,10.0,4.0,4.0,"Cart, Crusaders, Polybag",Normal,Polybag
1464-1,Pirate Lookout,/sets/1464-1/Pirate-Lookout,Historical,Pirates,,1992.0,17.0,1.0,,/minifigs/inset-1464-1,,25.0,8.0,3.5,2.0,"Island, Polybag",Normal,Polybag
1491-1,Dual Defender,/sets/1491-1/Dual-Defender,Historical,Castle,Black Knights,1992.0,48.0,2.0,,/minifigs/inset-1491-1,,30.0,19.0,3.8,5.0,"Black Knights, Catapult, Polybag",Normal,Polybag
1492-1,Battle Cove,/sets/1492-1/Battle-Cove,Historical,Pirates,,1992.0,26.0,1.0,,/minifigs/inset-1492-1,,35.0,24.0,4.8,4.0,"Island, Polybag, Shark",Normal,Polybag
1545-1,Build-A-Rabbit,/sets/1545-1/Build-A-Rabbit,Basic,Basic,,1992.0,27.0,0.0,,,,2.0,2.0,3.5,2.0,"Brick Built Animals, Easter, Polybag, Seasonal",Normal,Polybag
1549-1,Santa and Chimney,/sets/1549-1/Santa-and-Chimney,Basic,Basic,Seasonal,1992.0,62.0,0.0,,,,15.0,9.0,,,"Brick Built Figure, Christmas, Santa Claus",Normal,
1583-1,Clown Bucket,/sets/1583-1/Clown-Bucket,Pre-school,Duplo,,1992.0,30.0,3.0,,/minifigs/inset-1583-1,,,,,,,Normal,Bucket
1594-1,Rabbit and Bear Friend,/sets/1594-1/Rabbit-and-Bear-Friend,Pre-school,Duplo,,1992.0,13.0,0.0,,,,,,,,,Normal,
1659-1,Tote Pack,/sets/1659-1/Tote-Pack,Pre-school,Duplo,,1992.0,30.0,0.0,,,,,,,,,Normal,Other
1664-1,Bird,/sets/1664-1/Bird,Pre-school,Duplo,,1992.0,2.0,0.0,,,,,,,,Bird,Normal,
1668-1,Special Offer Trial Size,/sets/1668-1/Special-Offer-Trial-Size,Basic,Basic,,1992.0,30.0,0.0,,,,5.0,,,,,Normal,
1670-1,Trial Size Box,/sets/1670-1/Trial-Size-Box,Basic,Basic,,1992.0,26.0,0.0,,,,5.0,,,,,Normal,
1671-1,Trial Size Box,/sets/1671-1/Trial-Size-Box,Basic,Basic,,1992.0,,0.0,,,,20.0,,,,,Normal,
1673-1,Zoo Train,/sets/1673-1/Zoo-Train,Pre-school,Duplo,,1992.0,8.0,1.0,,/minifigs/inset-1673-1,,,,,,"Giraffe, Hippopotamus, Zoo",Normal,Other
1693-1,Racing Car,/sets/1693-1/Racing-Car,Modern day,Town,Racing,1992.0,26.0,0.0,,,,14.0,4.0,5.0,1.0,"Racing, Racing Car",Normal,Box
1694-1,Galactic Scout,/sets/1694-1/Galactic-Scout,Action/Adventure,Space,Blacktron 2,1992.0,23.0,1.0,,/minifigs/inset-1694-1,,,56.0,4.0,3.0,Spaceship,Normal,Box
1695-1,Treasure Chest,/sets/1695-1/Treasure-Chest,Historical,Castle,Crusaders,1992.0,23.0,1.0,,/minifigs/inset-1695-1,,57.0,12.0,,,"Cart, Crusaders",Normal,Box
1696-1,Pirate Lookout,/sets/1696-1/Pirate-Lookout,Historical,Pirates,,1992.0,17.0,1.0,,/minifigs/inset-1696-1,,50.0,7.0,3.6,7.0,Island,Normal,Box
1750-1,Promotional Set,/sets/1750-1/Promotional-Set,Modern day,Town,Special,1992.0,33.0,1.0,,/minifigs/inset-1750-1,,125.0,,,,"Formula 1, Racing, Racing Car, Renault",Normal,Box
1769-1,Prop plane,/sets/1769-1/Prop-plane,Basic,Basic,,1992.0,23.0,0.0,/inventories/1769-1,,,,3.0,,,"Aircraft, Polybag, Propeller Aircraft",Normal,Polybag
1879-1,"Basic Building Set, 5+",/sets/1879-1/Basic-Building-Set-5,Basic,Basic,,1992.0,425.0,2.0,,/minifigs/inset-1879-1,,78.0,17.0,5.0,1.0,"Baseplate, Car, Helicopter, House, Propeller Aircraft, Trailer, Van",Normal,Bucket
1880-1,5+ Bucket,/sets/1880-1/5-Bucket,Basic,Basic,,1992.0,559.0,2.0,,/minifigs/inset-1880-1,,,,,,"Baseplate, Bbq, Boat, Car, Convertible, House, Off Roader, Trailer",Normal,
1884-1,"Handy Bucket of Bricks, 3+",/sets/1884-1/Handy-Bucket-of-Bricks-3,Basic,Basic,,1992.0,189.0,0.0,,,,35.0,,4.0,1.0,Brick Built Figure,Normal,
1885-1,"Play Bucket of Bricks, 3+",/sets/1885-1/Play-Bucket-of-Bricks-3,Basic,Basic,,1992.0,465.0,0.0,,,,,22.0,,,,Normal,
1887-1,Scout Patrol Ship,/sets/1887-1/Scout-Patrol-Ship,Action/Adventure,Space,Blacktron 2,1992.0,30.0,1.0,,/minifigs/inset-1887-1,,,13.0,4.0,3.0,Spaceship,Normal,Box
1888-1,Black Knights Guardshack,/sets/1888-1/Black-Knights-Guardshack,Historical,Castle,Black Knights,1992.0,49.0,2.0,,/minifigs/inset-1888-1,,,23.0,4.7,3.0,"Black Knights, Ghost",Normal,Box
1889-1,Pirates Treasure Hold,/sets/1889-1/Pirates-Treasure-Hold,Historical,Pirates,,1992.0,34.0,1.0,,/minifigs/inset-1889-1,,,11.0,4.5,2.0,Monkey,Normal,Box
1890-1,Octan Racer,/sets/1890-1/Octan-Racer,Modern day,Town,Racing,1992.0,47.0,1.0,,/minifigs/inset-1890-1,,,7.0,5.0,2.0,"Octan, Racing, Racing Car",Normal,Box
1891-1,Four Set Value Pack,/sets/1891-1/Four-Set-Value-Pack,Miscellaneous,Assorted,Bonus/Value Pack,1992.0,160.0,0.0,,,12.0,120.0,69.0,4.0,1.0,,Collection,Other
1893-1,Jungle Bucket,/sets/1893-1/Jungle-Bucket,Pre-school,Duplo,,1992.0,37.0,0.0,,,,,,,,"Monkey, Tiger",Normal,Tub
1895-1,Sky Patrol,/sets/1895-1/Sky-Patrol,Modern day,Town,Police,1992.0,85.0,2.0,,/minifigs/inset-1895-1,,86.0,22.0,,,"Aircraft, Jet Aircraft, Motorcycle, Police",Normal,Box
1896-1,Trauma Team,/sets/1896-1/Trauma-Team,Modern day,Town,Emergency,1992.0,291.0,5.0,,/minifigs/inset-1896-1,27.5,,36.0,4.5,2.0,"Aircraft, Ambulance, Helicopter, Medical, Motorcycle, Off Roader, Propeller Aircraft",Normal,Box
1924-2,Viking Line Ferry,/sets/1924-2/Viking-Line-Ferry,Miscellaneous,Promotional,Ferries,1992.0,203.0,0.0,,,,,135.0,,,"Boat, Ferry, Ship, Viking Line",Normal,Box
1994-1,Basic Building Set 3+,/sets/1994-1/Basic-Building-Set-3,Basic,Basic,,1992.0,182.0,0.0,,,,,,,,,Normal,
2304-1,Large Building Plate,/sets/2304-1/Large-Building-Plate,Pre-school,Duplo,,1992.0,1.0,0.0,/inventories/2304-1,,14.99,9.0,9.0,2.5,2.0,Baseplate,Normal,
2374-1,Bucket,/sets/2374-1/Bucket,Pre-school,Duplo,,1992.0,59.0,2.0,,/minifigs/inset-2374-1,,,,,,,Normal,Bucket
2383-1,Bucket,/sets/2383-1/Bucket,Pre-school,Duplo,,1992.0,61.0,0.0,,,,,,,,,Normal,Bucket
2384-1,Farm Bucket,/sets/2384-1/Farm-Bucket,Pre-school,Duplo,,1992.0,67.0,3.0,,/minifigs/inset-2384-1,,,,,,"Cow, Horse, Pig, Sheep, Windmill",Normal,Bucket
2387-1,Playtime Bucket,/sets/2387-1/Playtime-Bucket,Pre-school,Duplo,,1992.0,56.0,0.0,,,,,,,,,Normal,
2551-1,Grandma's Kitchen,/sets/2551-1/Grandma-s-Kitchen,Pre-school,Duplo,,1992.0,41.0,2.0,,/minifigs/inset-2551-1,,,45.0,,,"Dog, Kitchen",Normal,Other
2552-1,Family Home Bucket,/sets/2552-1/Family-Home-Bucket,Pre-school,Duplo,,1992.0,49.0,2.0,/inventories/2552-1,/minifigs/inset-2552-1,,,,3.0,1.0,"House, Tv",Normal,Bucket
2910-1,Dumper Truck,/sets/2910-1/Dumper-Truck,Pre-school,Duplo,Toolo,1992.0,17.0,1.0,,/minifigs/inset-2910-1,17.5,,16.0,,,"Construction, Duplo Screwdriver",Normal,
2920-1,Digger,/sets/2920-1/Digger,Pre-school,Duplo,Toolo,1992.0,20.0,1.0,,/minifigs/inset-2920-1,25.0,,33.0,3.0,1.0,Duplo Screwdriver,Normal,
2930-1,Mobile Crane,/sets/2930-1/Mobile-Crane,Pre-school,Duplo,Toolo,1992.0,27.0,2.0,/inventories/2930-1,/minifigs/inset-2930-1,30.0,53.0,,,,Mobile Crane,Normal,
2940-1,Fire Truck,/sets/2940-1/Fire-Truck,Pre-school,Duplo,Toolo,1992.0,32.0,2.0,,/minifigs/inset-2940-1,45.0,,,,,"Duplo Screwdriver, Fire Truck",Normal,
4741-1,Blacktron II Space Value Pack,/sets/4741-1/Blacktron-II-Space-Value-Pack,Action/Adventure,Space,Bonus/Value Pack,1992.0,209.0,0.0,,,,767.0,,,,,Collection,Box
5097-1,Duplo Sleeping Bags,/sets/5097-1/Duplo-Sleeping-Bags,Miscellaneous,Service Packs,Duplo,1992.0,3.0,0.0,,,,5.0,,,,Polybag,Normal,Polybag
5098-1,Duplo Toolo Screwdriver,/sets/5098-1/Duplo-Toolo-Screwdriver,Miscellaneous,Service Packs,Toolo,1992.0,1.0,0.0,,,2.75,1.0,1.0,,,"Duplo Screwdriver, Polybag",Normal,Polybag
5116-1,Pneumatic Piston Cylinder 32 mm,/sets/5116-1/Pneumatic-Piston-Cylinder-32-mm,Miscellaneous,Service Packs,Technic,1992.0,1.0,0.0,,,3.25,7.0,,,,"Pneumatic, Polybag",Normal,Polybag
5273-1,Tyres and Hubs 62 mm,/sets/5273-1/Tyres-and-Hubs-62-mm,Miscellaneous,Service Packs,,1992.0,4.0,0.0,,,,10.0,,,,Polybag,Normal,Polybag
5274-1,Tyres with Hubs 24 and 30 mm,/sets/5274-1/Tyres-with-Hubs-24-and-30-mm,Miscellaneous,Service Packs,,1992.0,16.0,0.0,,,4.5,7.0,,,,Polybag,Normal,Polybag
