set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
71040-1,Disney Castle,/sets/71040-1/Disney-Castle,Licensed,Disney,Disney Parks,2016.0,4080.0,7.0,/inventories/71040-1,/minifigs/inset-71040-1,349.99,338.0,313.0,5.0,8.0,"Daisy Duck, Donald Duck, Mickey Mouse, Minnie Mouse, Tinkerbell, Aladdin Film, Award Winning Product, Beauty And The Beast, Bedroom, Castle, Cinderella Film, D2c, Disney, Disney Classics, Disney Renaissance, Fairground, Fireworks, Fresh Produce, Frog, Kitchen, Lumiere, Magic, Magic Carpet, Magic Lamp, Modern Disney, Peter Pan Film, Pixar, Pumpkin Head, Royal, Sleeping Beauty, Snow White Film, The Princess And The Frog",Normal,Box,12397,700,4194,White,Light Bluish Gray
75098-1,Assault on Hoth,/sets/75098-1/Assault-on-Hoth,Licensed,Star Wars,Ultimate Collector Series,2016.0,2144.0,15.0,/inventories/75098-1,/minifigs/inset-75098-1,249.99,251.0,186.0,3.4,5.0,"Han Solo, Hoth Rebel Trooper, K-3PO, Luke Skywalker, Major Bren Derlin, R3-A2, Snowtrooper, Toryn Farr, Wedge Antilles, Wes Janson, Bigfig, Crane, D2c, Droid, Echo Base, Hoth, Ion Cannon, Original Trilogy, Rebel Alliance, Sliding Door, Snowspeeder, Tauntaun, The Empire Strikes Back, Wampa",Normal,Box,12848,510,2140,White,Light Bluish Gray
75113-1,Rey,/sets/75113-1/Rey,Licensed,Star Wars,Buildable Figures,2016.0,84.0,0.0,/inventories/75113-1,,19.99,8.0,8.0,4.5,2.0,"Ccbs, Female, Resistance, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,8314,49,86,Black,Dark Bluish Gray
75114-1,First Order Stormtrooper,/sets/75114-1/First-Order-Stormtrooper,Licensed,Star Wars,Buildable Figures,2016.0,81.0,0.0,/inventories/75114-1,,19.99,16.0,8.0,,,"Ccbs, First Order, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,6202,54,88,White,Black
75115-1,Poe Dameron,/sets/75115-1/Poe-Dameron,Licensed,Star Wars,Buildable Figures,2016.0,102.0,0.0,/inventories/75115-1,,24.99,11.0,9.0,,,"Ccbs, Resistance, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,5537,53,102,Black,Dark Bluish Gray
75116-1,Finn,/sets/75116-1/Finn,Licensed,Star Wars,Buildable Figures,2016.0,98.0,0.0,/inventories/75116-1,,24.99,8.0,8.0,,,"Ccbs, Resistance, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,12756,48,98,Black,Dark Bluish Gray
75117-1,Kylo Ren,/sets/75117-1/Kylo-Ren,Licensed,Star Wars,Buildable Figures,2016.0,86.0,0.0,/inventories/75117-1,,24.99,15.0,9.0,3.5,2.0,"Ccbs, First Order, Knights Of Ren, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,9858,41,86,Black,Dark Bluish Gray
75118-1,Captain Phasma,/sets/75118-1/Captain-Phasma,Licensed,Star Wars,Buildable Figures,2016.0,82.0,0.0,/inventories/75118-1,,24.99,22.0,10.0,5.0,1.0,"Ccbs, Female, First Order, Sequel Trilogy, The Force Awakens, Ultrabuild",Normal,Box,6895,46,82,Black,Flat Silver
75119-1,Sergeant Jyn Erso,/sets/75119-1/Sergeant-Jyn-Erso,Licensed,Star Wars,Buildable Figures,2016.0,104.0,0.0,/inventories/75119-1,,24.99,6.0,6.0,4.5,2.0,"Ccbs, Female, Rebel Alliance, Rogue One, Star Wars Anthology, Ultrabuild",Normal,Box,9819,53,104,Black,Dark Bluish Gray
75120-1,K-2SO,/sets/75120-1/K-2SO,Licensed,Star Wars,Buildable Figures,2016.0,169.0,0.0,/inventories/75120-1,,24.99,14.0,13.0,5.0,2.0,"Ccbs, Droid, Rebel Alliance, Rogue One, Star Wars Anthology, Ultrabuild",Normal,Box,6926,61,174,Black,Light Bluish Gray
