set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6076-1,Dark Dragon's Den,43.0,61.0,48.400000000000006,Historical,1993.0,219,117,13,Black,Gray
6082-1,Fire Breathing Fortress,64.0,87.0,59.8,Historical,1993.0,409,179,15,Black,Gray
6105-1,Medieval Knights,6.75,22.0,23.8,Historical,1993.0,37,33,7,Black,Yellow
6237-1,Pirates Plunder,3.0,13.0,12.0,Historical,1993.0,29,23,10,Yellow,Brown
6252-1,Sea Mates,7.25,17.0,28.0,Historical,1993.0,36,32,8,Black,Brown
6266-1,Cannon Cove,17.5,31.0,23.0,Historical,1993.0,106,61,9,White,Black
6268-1,Renegade Runner,39.75,84.0,64.5,Historical,1993.0,190,107,9,Black,Red
6286-1,Skull's Eye Schooner,126.5,347.0,105.6,Historical,1993.0,925,253,11,Black,Gray
6319-1,Trees and Fences,4.5,12.0,,Modern day,1993.0,49,24,6,Green,Red
6342-1,Beach Rescue Chopper,17.5,13.0,9.0,Modern day,1993.0,157,98,12,White,Red
6344-1,Jet Speed Justice,21.0,15.0,23.0,Modern day,1993.0,162,101,12,White,Black
6345-1,Aerial Acrobats,34.0,36.0,32.9,Modern day,1993.0,352,168,13,White,Red
6398-1,Central Precinct HQ,73.0,55.0,73.5,Modern day,1993.0,639,221,16,White,Black
6403-1,Paradise Playground,13.25,23.0,12.0,Modern day,1993.0,97,55,10,White,Gray
6409-1,Island Arcade,21.0,38.0,4.0,Modern day,1993.0,150,80,11,White,Red
6513-1,Glade Runner,3.25,3.0,24.0,Modern day,1993.0,32,22,7,White,Red
6536-1,Aero Hawk,4.5,4.0,16.0,Modern day,1993.0,48,34,10,Blue,Red
6539-1,Victory Cup Racers,42.0,46.0,19.2,Modern day,1993.0,459,194,14,Black,White
6552-1,Rocky River Retreat,29.75,38.0,41.4,Modern day,1993.0,241,147,14,Black,Gray
6663-1,Wave Rebel,7.25,7.0,17.2,Modern day,1993.0,78,52,9,Black,White
6664-1,Chopper Cops,7.25,6.0,14.0,Modern day,1993.0,71,44,11,White,Black
6667-1,Pothole Patcher,9.25,12.0,9.0,Modern day,1993.0,97,63,8,Yellow,Black
6670-1,Rescue Rig,9.25,10.0,12.0,Modern day,1993.0,114,56,10,Red,White
6813-1,Galactic Chief,3.0,6.0,24.8,Action/Adventure,1993.0,24,22,7,Black,Gray
6814-1,Ice Tunnelator,3.0,5.0,36.0,Action/Adventure,1993.0,25,17,6,White,Black
6834-1,Celestial Sled,4.0,7.0,42.300000000000004,Action/Adventure,1993.0,56,39,5,White,Black
6852-1,Sonar Security,6.0,11.0,22.0,Action/Adventure,1993.0,63,40,7,Black,Gray
6879-1,Blizzard Baron,8.0,11.0,32.199999999999996,Action/Adventure,1993.0,83,54,6,Black,Blue
6898-1,Ice-Sat V,15.0,25.0,38.4,Action/Adventure,1993.0,138,78,6,White,Blue
6973-1,Deep Freeze Defender,45.0,100.0,129.6,Action/Adventure,1993.0,417,139,6,Blue,White
6983-1,Ice Station Odyssey,60.0,95.0,52.8,Action/Adventure,1993.0,345,150,6,Black,White
1906-1,Majisto's Tower,20.0,76.0,25.799999999999997,Historical,1994.0,196,107,14,Black,Gray
