set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
7199-1,The Temple of Doom,89.99,115.0,52.800000000000004,Licensed,2009.0,669,224,26,Gray,Brown
7630-1,Front-End Loader,12.99,13.0,67.5,Modern day,2009.0,114,65,11,Yellow,Gray
7631-1,Dump Truck,19.99,13.0,49.5,Modern day,2009.0,192,86,11,Yellow,Black
7632-1,Crawler Crane,59.99,59.0,39.6,Modern day,2009.0,491,124,17,Gray,Black
7633-1,Construction Site,99.99,84.0,43.199999999999996,Modern day,2009.0,926,288,18,Gray,Yellow
7634-1,Tractor,12.99,13.0,76.8,Modern day,2009.0,81,51,12,Black,Red
7635-1,4WD with Horse Trailer,17.48,19.0,66.0,Modern day,2009.0,181,75,15,Black,Red
7636-1,Combine Harvester,44.99,71.0,36.9,Modern day,2009.0,372,132,15,Green,White
7637-1,Farm,89.99,108.0,43.0,Modern day,2009.0,628,235,17,Black,Tan
7638-1,Tow Truck,12.99,9.0,54.6,Modern day,2009.0,132,70,14,Yellow,White
7639-1,Camper,16.99,13.0,202.1,Modern day,2009.0,166,73,17,White,Green
7641-1,City Corner,59.99,40.0,94.0,Modern day,2009.0,503,213,16,Yellow,Red
7642-1,Garage,99.99,82.0,57.2,Modern day,2009.0,993,336,22,White,Black
7682-1,Shanghai Chase,29.99,55.0,142.6,Licensed,2009.0,256,126,15,Black,Gray
7683-1,Fight on the Flying Wing,49.99,86.0,77.39999999999999,Licensed,2009.0,385,168,19,Gray,Black
7685-1,Dozer,39.99,27.0,68.8,Modern day,2009.0,357,105,14,Gray,Yellow
7686-1,Helicopter Transporter,39.99,21.0,30.800000000000004,Modern day,2009.0,399,162,16,Black,Yellow
7746-1,Single-Drum Roller,29.99,31.0,30.099999999999998,Modern day,2009.0,216,98,14,Yellow,Black
7747-1,Wind Turbine Transport,59.99,89.0,46.2,Modern day,2009.0,448,150,14,White,Black
7748-1,Corporate Alliance Tank Droid,24.99,22.0,151.7,Licensed,2009.0,223,67,9,Black,Gray
7749-1,Echo Base,24.99,24.0,239.4,Licensed,2009.0,163,92,10,White,Black
7751-1,Ahsoka's Starfighter and Vulture Droid,39.99,64.0,58.800000000000004,Licensed,2009.0,296,116,16,Gray,Black
7752-1,Count Dooku's Solar Sailer,54.99,40.0,81.89999999999999,Licensed,2009.0,392,117,15,Brown,Gray
7753-1,Pirate Tank,39.99,33.0,48.400000000000006,Licensed,2009.0,378,118,15,Black,Gray
7754-1,Home One Mon Calamari Star Cruiser,109.99,111.0,64.39999999999999,Licensed,2009.0,812,267,23,White,Gray
7778-1,Midi-scale Millennium Falcon,39.99,43.0,73.1,Licensed,2009.0,362,100,10,Gray,Gray
8014-1,Clone Walker Battle Pack,11.99,22.0,386.4,Licensed,2009.0,83,46,10,Gray,Black
8015-1,Assassin Droids Battle Pack,11.99,7.0,143.5,Licensed,2009.0,105,54,9,Black,Gray
8016-1,Hyena Droid Bomber,19.99,16.0,143.5,Licensed,2009.0,237,72,10,Gray,Gray
8017-1,Darth Vader's TIE Fighter,29.99,36.0,205.8,Licensed,2009.0,254,67,8,Gray,Black
8018-1,Armored Assault Tank (AAT),49.99,48.0,225.39999999999998,Licensed,2009.0,414,139,14,Gray,Gray
8019-1,Republic Attack Shuttle,59.99,50.0,157.5,Licensed,2009.0,644,172,18,Gray,White
8036-1,Separatist Shuttle,29.99,31.0,114.4,Licensed,2009.0,265,105,15,Gray,Gray
8037-1,Anakin's Y-wing Starfighter,59.99,55.0,108.10000000000001,Licensed,2009.0,582,140,19,Yellow,White
8038-1,The Battle of Endor,99.99,107.0,172.79999999999998,Licensed,2009.0,909,227,17,Gray,Gray
8039-1,Venator-Class Republic Attack Cruiser,119.99,170.0,94.5,Licensed,2009.0,1175,157,17,Gray,Gray
8123-1,Ferrari F1 Racers,14.99,9.0,6.0,Racing,2009.0,145,42,7,Red,Black
8124-1,Ice Rally,14.99,7.0,5.0,Racing,2009.0,177,79,10,Black,Blue
8125-1,Thunder Raceway,14.99,6.0,,Racing,2009.0,168,85,8,Black,White
8126-1,Desert Challenge,14.99,8.0,3.0,Racing,2009.0,153,83,10,Black,White
8162-1,Race Rig,12.99,4.0,,Racing,2009.0,106,56,9,Black,Yellow
8163-1,Blue Sprinter,12.99,7.0,5.0,Racing,2009.0,113,57,9,Blue,Black
8164-1,Extreme Wheelie,12.99,5.0,4.0,Racing,2009.0,90,50,10,Black,Red
8165-1,Monster Jumper,12.99,5.0,4.0,Racing,2009.0,95,45,9,Black,Gray
8166-1,Wing Jumper,19.99,14.0,,Racing,2009.0,202,66,9,Black,Gray
8167-1,Jump Riders,19.99,14.0,,Racing,2009.0,209,58,9,Black,Gray
8168-1,Ferrari Victory,19.99,40.0,14.0,Racing,2009.0,192,55,8,Red,Black
21002-1,Empire State Building,19.99,21.0,34.199999999999996,Model making,2009.0,79,22,3,Tan,Black
21003-1,Seattle Space Needle,19.99,25.0,19.0,Model making,2009.0,60,26,3,Gray,Black
21004-1,Solomon Guggenheim Museum,39.99,35.0,11.100000000000001,Model making,2009.0,210,61,3,White,Tan
21005-1,Fallingwater,99.99,163.0,38.4,Model making,2009.0,816,63,7,Tan,Transparent
8709-1,Underground Mining Station,79.99,88.0,21.0,Action/Adventure,2009.0,648,204,18,Black,Gray
8867-1,Flexible Train Tracks,24.99,31.0,10.0,Modern day,2009.0,64,1,1,Gray,Gray
8956-1,Stone Chopper,5.99,5.0,171.0,Action/Adventure,2009.0,36,30,11,Black,Gray
8957-1,Mine Mech,7.99,7.0,180.39999999999998,Action/Adventure,2009.0,71,45,11,Green,Gray
8958-1,Granite Grinder,9.99,8.0,183.3,Action/Adventure,2009.0,102,62,12,Black,Green
8959-1,Claw Digger,19.99,13.0,126.9,Action/Adventure,2009.0,208,83,12,Green,Black
8960-1,Thunder Driller,29.99,21.0,182.4,Action/Adventure,2009.0,252,115,13,Black,Green
8961-1,Crystal Sweeper,69.99,50.0,84.0,Action/Adventure,2009.0,494,172,17,Green,Gray
8962-1,Crystal King,19.99,15.0,103.4,Action/Adventure,2009.0,175,66,11,Gray,Gray
8963-1,Rock Wrecker,34.99,16.0,58.5,Action/Adventure,2009.0,231,100,14,Green,Gray
8964-1,Titanium Command Rig,99.99,73.0,55.199999999999996,Action/Adventure,2009.0,733,218,18,Black,Gray
8967-1,Gold Tooth's Getaway,9.99,7.0,82.0,Action/Adventure,2009.0,71,43,9,Black,Gray
8968-1,River Heist,19.99,11.0,47.3,Action/Adventure,2009.0,209,109,16,Black,Gray
8969-1,4-Wheeling Pursuit,29.99,14.0,36.0,Action/Adventure,2009.0,331,144,18,Gray,Black
8970-1,Robo Attack,49.99,44.0,48.0,Action/Adventure,2009.0,429,182,22,Black,Gray
8971-1,Aerial Defence Unit,79.99,30.0,28.799999999999997,Action/Adventure,2009.0,723,213,22,Black,Gray
10193-1,Medieval Market Village,99.99,174.0,134.4,Historical,2009.0,1652,321,32,Brown,Black
10194-1,Emerald Night,99.99,352.0,105.8,Model making,2009.0,1105,212,22,Black,Green
10195-1,Republic Dropship with AT-OT Walker,249.99,486.0,91.2,Licensed,2009.0,1776,269,15,Gray,Gray
10196-1,Grand Carousel,249.99,862.0,49.5,Model making,2009.0,3295,292,24,White,Blue
10197-1,Fire Brigade,149.99,296.0,95.0,Model making,2009.0,2278,351,23,Gray,Tan
10198-1,Tantive IV,149.99,250.0,59.8,Licensed,2009.0,1424,206,18,White,Gray
10199-1,Winter Village Toy Shop,59.99,84.0,49.5,Model making,2009.0,841,287,26,White,Gray
3177-1,Small Car,4.99,4.0,423.0,Modern day,2010.0,45,30,12,White,Black
3178-1,Seaplane,10.99,5.0,110.39999999999999,Modern day,2010.0,107,66,12,Gray,Yellow
3179-1,Repair Truck,12.99,10.0,117.0,Modern day,2010.0,127,73,16,Gray,Yellow
3180-1,Tank Truck,19.99,20.0,101.2,Modern day,2010.0,233,109,14,Gray,White
3181-1,Passenger Plane,39.99,28.0,82.0,Modern day,2010.0,312,125,19,White,Gray
3182-1,Airport,99.99,88.0,75.2,Modern day,2010.0,721,249,20,White,Red
3221-1,LEGO City Truck,34.99,38.0,147.2,Modern day,2010.0,285,104,13,Yellow,Gray
3222-1,Helicopter and Limousine,29.99,31.0,82.8,Modern day,2010.0,259,114,16,White,Black
4736-1,Freeing Dobby,10.99,18.0,110.69999999999999,Licensed,2010.0,75,47,10,Gray,Gray
4737-1,Quidditch Match,19.99,40.0,63.0,Licensed,2010.0,156,75,15,Brown,Gray
4738-1,Hagrid's Hut,39.99,64.0,81.6,Licensed,2010.0,456,160,29,Brown,Gray
4840-1,The Burrow,59.99,133.0,61.1,Licensed,2010.0,587,188,28,Red,Tan
4841-1,Hogwarts Express,79.99,117.0,38.4,Licensed,2010.0,672,224,23,Black,Red
4842-1,Hogwarts Castle,129.99,180.0,93.10000000000001,Licensed,2010.0,1324,322,34,Tan,Brown
5866-1,Rotor Rescue,12.99,5.0,23.099999999999998,Model making,2010.0,157,74,9,Yellow,Gray
5867-1,Super Speedster,19.99,17.0,27.0,Model making,2010.0,285,102,11,Red,Black
5868-1,Ferocious Creatures,29.99,30.0,10.0,Model making,2010.0,421,87,14,Green,Green
5891-1,Apple Tree House,44.99,43.0,79.2,Model making,2010.0,549,138,16,White,Gray
5892-1,Sonic Boom,59.99,35.0,25.0,Model making,2010.0,548,164,15,Red,Gray
5893-1,Off-Road Power,89.99,53.0,24.0,Model making,2010.0,1080,254,15,Blue,Gray
5981-1,Raid VPR,9.99,10.0,112.80000000000001,Action/Adventure,2010.0,76,62,11,Black,White
5982-1,Smash 'n' Grab,19.99,14.0,108.10000000000001,Action/Adventure,2010.0,199,106,18,Black,Gray
5983-1,Undercover Cruiser,29.99,23.0,45.0,Action/Adventure,2010.0,321,126,11,White,Gray
5984-1,Lunar Limo,39.99,40.0,62.4,Action/Adventure,2010.0,395,142,14,Black,Yellow
5985-1,Space Police Central,79.99,79.0,24.0,Action/Adventure,2010.0,659,256,19,White,Black
7206-1,Fire Helicopter,39.99,15.0,30.800000000000004,Modern day,2010.0,354,152,16,Red,White
7207-1,Fire Boat,49.99,31.0,21.0,Modern day,2010.0,318,134,15,White,Red
7208-1,Fire Station,79.99,45.0,44.0,Modern day,2010.0,673,195,16,Red,White
7213-1,Off-Road Fire Truck & Fireboat,39.99,26.0,15.2,Modern day,2010.0,404,165,16,Red,Gray
7566-1,Farmer,3.99,6.0,79.2,Modern day,2010.0,18,16,10,Red,Green
7567-1,Traveller,3.99,3.0,94.3,Modern day,2010.0,22,19,10,Black,Yellow
7569-1,Desert Attack,10.99,12.0,83.60000000000001,Licensed,2010.0,60,49,17,Black,Tan
7570-1,The Ostrich Race,19.99,18.0,55.9,Licensed,2010.0,172,68,13,Brown,Tan
7571-1,The Fight for the Dagger,29.99,32.0,81.7,Licensed,2010.0,266,103,21,Tan,White
7572-1,Quest Against Time,49.99,26.0,25.2,Licensed,2010.0,517,133,16,Gray,Black
7573-1,Battle of Alamut,79.99,104.0,52.8,Licensed,2010.0,840,206,20,White,Tan
7590-1,Woody and Buzz to the Rescue,19.99,27.0,83.60000000000001,Licensed,2010.0,96,58,8,Blue,Green
7591-1,Construct-a-Zurg,24.99,26.0,17.0,Licensed,2010.0,124,65,12,Blue,Gray
7592-1,Construct-a-Buzz,24.99,18.0,51.7,Licensed,2010.0,210,79,12,White,Green
7593-1,Buzz's Star Command Spaceship,29.99,34.0,45.0,Licensed,2010.0,258,85,15,Blue,Gray
7594-1,Woody's Roundup!,49.99,61.0,22.0,Licensed,2010.0,511,136,20,Brown,Gray
7595-1,Army Men on Patrol,10.99,16.0,188.0,Licensed,2010.0,91,38,4,Green,Black
7596-1,Trash Compactor Escape,49.99,43.0,15.2,Licensed,2010.0,382,145,20,Gray,Gray
7597-1,Western Train Chase,79.99,105.0,25.2,Licensed,2010.0,596,187,22,Black,Red
7598-1,Pizza Planet Truck Rescue,39.99,72.0,42.300000000000004,Licensed,2010.0,229,119,17,Yellow,Gray
7599-1,Garbage Truck Getaway,49.99,67.0,23.0,Licensed,2010.0,414,133,19,Gray,Gray
7684-1,Pig Farm & Tractor,34.99,46.0,46.0,Modern day,2010.0,267,133,18,Gray,Red
7789-1,Lotso's Dump Truck,19.99,16.0,46.0,Licensed,2010.0,133,71,15,Yellow,Black
7848-1,Toys R Us City Truck,44.99,60.0,45.0,Modern day,2010.0,354,130,14,Blue,Black
7936-1,Level Crossing,19.99,42.0,36.0,Modern day,2010.0,143,67,10,Black,Yellow
7937-1,Train Station,49.99,55.0,42.300000000000004,Modern day,2010.0,378,128,16,White,Gray
7938-1,Passenger Train,129.99,97.0,54.0,Modern day,2010.0,687,137,22,Red,Black
7939-1,Cargo Train,179.99,108.0,47.0,Modern day,2010.0,853,245,19,Black,Yellow
7946-1,King's Castle,99.99,124.0,82.8,Historical,2010.0,952,212,26,Gray,Gray
7947-1,Prison Tower Rescue,49.99,56.0,54.0,Historical,2010.0,372,155,21,Black,Brown
7948-1,Outpost Attack,19.99,19.0,64.5,Historical,2010.0,199,83,15,Gray,Brown
7949-1,Prison Carriage Rescue,9.99,11.0,54.6,Historical,2010.0,54,44,13,Black,Green
7950-1,Knight's Showdown,6.99,9.0,74.80000000000001,Historical,2010.0,67,42,14,Brown,Gray
7953-1,Court Jester,3.99,5.0,68.8,Historical,2010.0,25,19,6,Red,White
7955-1,Wizard,3.99,7.0,90.0,Historical,2010.0,21,20,10,Green,Black
7967-1,Fast,12.99,3.0,4.0,Racing,2010.0,72,42,8,Black,Red
7968-1,Strong,12.99,4.0,4.0,Racing,2010.0,99,56,7,Black,Yellow
7970-1,Hero,12.99,6.0,13.2,Racing,2010.0,70,43,9,Black,Blue
7971-1,Bad,12.99,5.0,4.0,Racing,2010.0,75,49,7,Black,Yellow
8056-1,Monster Crab Clash,6.99,3.0,107.5,Action/Adventure,2010.0,70,31,10,Black,Yellow
8057-1,Wreck Raider,9.99,4.0,96.6,Action/Adventure,2010.0,67,46,11,Gray,Gray
8058-1,Guardian of the Deep,14.99,8.0,82.8,Action/Adventure,2010.0,152,80,11,Black,Red
8059-1,Seabed Scavenger,14.99,7.0,49.5,Action/Adventure,2010.0,126,70,15,Gray,Red
8060-1,Typhoon Turbo Sub,24.99,8.0,58.800000000000004,Action/Adventure,2010.0,207,109,17,Red,Black
8061-1,Gateway of the Squid,39.99,23.0,41.0,Action/Adventure,2010.0,366,143,20,Black,Gray
8072-1,Sea Jet,3.99,2.0,24.0,Action/Adventure,2010.0,28,23,8,Gray,Black
8073-1,Manta Warrior,3.99,3.0,57.6,Action/Adventure,2010.0,14,13,5,Gray,Blue
8075-1,Neptune Carrier,59.99,21.0,30.800000000000004,Action/Adventure,2010.0,497,170,19,Red,Gray
8076-1,Deep Sea Striker,19.99,13.0,18.0,Action/Adventure,2010.0,266,89,12,Black,Yellow
8077-1,Atlantis Exploration HQ,49.99,33.0,32.199999999999996,Action/Adventure,2010.0,487,172,20,Gray,Red
8078-1,Portal of Atlantis,99.99,70.0,48.0,Action/Adventure,2010.0,1032,249,27,Gray,Black
8079-1,Shadow Snapper,29.99,20.0,16.0,Action/Adventure,2010.0,254,91,12,Black,Red
8080-1,Undersea Explorer,39.99,31.0,12.899999999999999,Action/Adventure,2010.0,361,124,14,Red,Black
8083-1,Rebel Trooper Battle Pack,11.99,9.0,193.20000000000002,Licensed,2010.0,82,50,9,White,Gray
8084-1,Snowtrooper Battle Pack,11.99,11.0,175.5,Licensed,2010.0,77,57,6,Black,White
8085-1,Freeco Speeder,24.99,14.0,114.79999999999998,Licensed,2010.0,183,90,15,White,Gray
8086-1,Droid Tri-Fighter,24.99,16.0,74.80000000000001,Licensed,2010.0,272,66,9,Gray,Gray
8087-1,TIE Defender,49.99,48.0,82.0,Licensed,2010.0,309,75,9,Gray,Gray
8088-1,ARC-170 Starfighter,59.99,65.0,167.7,Licensed,2010.0,403,130,21,White,Black
8089-1,Hoth Wampa Cave,39.99,33.0,147.6,Licensed,2010.0,304,126,15,White,Gray
8091-1,Republic Swamp Speeder,29.99,20.0,104.0,Licensed,2010.0,184,91,13,Gray,Black
8092-1,Luke's Landspeeder,24.99,15.0,193.60000000000002,Licensed,2010.0,170,82,13,Red,Black
8093-1,Plo Koon's Jedi Starfighter,24.99,18.0,77.39999999999999,Licensed,2010.0,177,84,14,Blue,White
8095-1,General Grievous' Starfighter,49.99,35.0,98.7,Licensed,2010.0,469,157,17,Gray,Black
8096-1,Emperor Palpatine's Shuttle,59.99,36.0,80.0,Licensed,2010.0,602,158,18,Gray,White
8097-1,Slave I,79.99,65.0,132.0,Licensed,2010.0,583,172,20,Gray,Gray
8098-1,Clone Turbo Tank,119.99,88.0,69.0,Licensed,2010.0,1187,212,22,Gray,Black
8099-1,Midi-scale Imperial Star Destroyer,39.99,41.0,42.0,Licensed,2010.0,429,100,8,Gray,Gray
8128-1,Cad Bane's Speeder,49.99,37.0,88.0,Licensed,2010.0,330,139,15,Gray,Gray
8129-1,AT-AT Walker,109.99,142.0,44.1,Licensed,2010.0,821,181,17,Gray,Black
8188-1,Fire Blaster,9.99,7.0,107.5,Action/Adventure,2010.0,75,51,15,Gray,Gray
8189-1,Magma Mech,19.99,11.0,61.1,Action/Adventure,2010.0,192,93,16,Green,Gray
8190-1,Claw Catcher,34.99,21.0,32.9,Action/Adventure,2010.0,273,118,18,Gray,Green
8191-1,Lavatraz,49.99,58.0,20.0,Action/Adventure,2010.0,396,150,21,Black,Green
8196-1,Chopper Jump,14.99,8.0,9.0,Racing,2010.0,151,79,12,Black,White
8197-1,Highway Chaos,14.99,8.0,7.0,Racing,2010.0,151,87,12,Black,Gray
8198-1,Ramp Crash,14.99,9.0,9.0,Racing,2010.0,152,73,10,Black,White
8199-1,Security Smash,14.99,10.0,9.0,Racing,2010.0,139,74,13,Black,Gray
8211-1,Brick Street Getaway,39.99,40.0,,Racing,2010.0,565,230,19,Black,Gray
8214-1,Lamborghini Polizia,59.99,92.0,14.100000000000001,Racing,2010.0,823,206,15,Black,Blue
8403-1,City House,39.99,42.0,45.0,Modern day,2010.0,395,146,15,White,Gray
8404-1,Public Transport Station,99.99,114.0,50.599999999999994,Modern day,2010.0,884,260,20,White,Black
8863-1,Blizzard's Peak,59.99,18.0,9.0,Racing,2010.0,533,247,20,Black,Gray
8864-1,Desert of Destruction,89.99,38.0,14.100000000000001,Racing,2010.0,1017,354,20,Black,Gray
8896-1,Snake Canyon,9.99,5.0,41.8,Racing,2010.0,61,45,12,Black,Gray
8897-1,Jagged Jaws Reef,19.99,4.0,20.0,Racing,2010.0,195,106,12,Black,White
8898-1,Wreckage Road,29.99,15.0,16.0,Racing,2010.0,279,126,15,Black,Red
8899-1,Gator Swamp,39.99,18.0,2.0,Racing,2010.0,347,174,19,Black,Gray
10155-1,Maersk Line Container Ship,119.99,156.0,12.899999999999999,Model making,2010.0,993,162,14,White,Gray
10210-1,Imperial Flagship,179.99,519.0,76.8,Model making,2010.0,1639,214,26,Black,Brown
10211-1,Grand Emporium,149.99,246.0,105.6,Model making,2010.0,2221,314,28,Gray,Tan
10212-1,Imperial Shuttle,259.99,442.0,85.0,Licensed,2010.0,2518,253,18,White,Gray
10213-1,Shuttle Adventure,99.99,241.0,44.1,Model making,2010.0,1222,266,18,White,Black
10214-1,Tower Bridge,239.99,159.0,56.400000000000006,Model making,2010.0,4335,207,16,Tan,White
10215-1,Obi-Wan's Jedi Starfighter,99.99,138.0,18.0,Licensed,2010.0,688,176,17,White,Red
10216-1,Winter Village Bakery,54.99,169.0,49.5,Model making,2010.0,702,225,30,Gray,White
21006-1,The White House,49.99,45.0,21.0,Model making,2010.0,567,81,6,White,Black
2254-1,Mountain Shrine,19.99,14.0,46.0,Action/Adventure,2011.0,174,95,15,Gray,Gray
2258-1,Ninja Ambush,6.99,5.0,101.2,Action/Adventure,2011.0,76,40,14,Brown,Gray
2259-1,Skull Motorbike,14.99,12.0,32.8,Action/Adventure,2011.0,164,89,13,Black,White
2260-1,Ice Dragon Attack,19.99,23.0,74.80000000000001,Action/Adventure,2011.0,165,71,10,White,Black
2263-1,Turbo Shredder,29.99,17.0,30.800000000000004,Action/Adventure,2011.0,310,129,14,Black,White
2504-1,Spinjitzu Dojo,49.99,27.0,44.0,Action/Adventure,2011.0,395,144,20,Black,Brown
2505-1,Garmadon's Dark Fortress,69.99,64.0,20.0,Action/Adventure,2011.0,531,181,18,White,Black
2506-1,Skull Truck,59.99,39.0,23.0,Action/Adventure,2011.0,530,182,17,White,Black
2507-1,Fire Temple,119.99,102.0,30.0,Action/Adventure,2011.0,1208,283,28,Black,Brown
2508-1,Blacksmith Shop,19.99,21.0,20.0,Action/Adventure,2011.0,186,96,17,Black,Brown
2509-1,Earth Dragon Defense,34.99,53.0,34.300000000000004,Action/Adventure,2011.0,228,99,20,Gray,Brown
2516-1,Ninja Training Outpost,4.99,4.0,88.2,Action/Adventure,2011.0,51,40,11,Black,Red
2518-1,Nuckal's ATV,24.99,15.0,4.0,Action/Adventure,2011.0,183,81,11,White,Black
2519-1,Skeleton Bowling,29.99,22.0,12.899999999999999,Action/Adventure,2011.0,383,110,14,Black,Brown
2520-1,Ninjago Battle Arena,49.99,10.0,12.0,Action/Adventure,2011.0,474,194,16,Black,White
2521-1,Lightning Dragon Battle,79.99,105.0,20.0,Action/Adventure,2011.0,660,216,22,Black,White
3365-1,Space Moon Buggy,4.99,4.0,49.199999999999996,Modern day,2011.0,37,23,9,Gray,Black
3366-1,Satellite Launch Pad,19.99,8.0,23.0,Modern day,2011.0,171,77,13,White,Gray
3367-1,Space Shuttle,29.99,17.0,42.0,Modern day,2011.0,236,99,13,White,Black
3368-1,Space Centre,69.99,51.0,23.0,Modern day,2011.0,507,193,20,Black,Red
3648-1,Police Chase,24.99,18.0,28.0,Modern day,2011.0,186,104,18,White,Black
3658-1,Police Helicopter,34.99,25.0,12.899999999999999,Modern day,2011.0,247,119,16,Black,White
3661-1,Bank & Money Transfer,49.99,42.0,100.8,Modern day,2011.0,428,197,22,Gray,White
3677-1,Red Cargo Train,159.99,206.0,7.0,Modern day,2011.0,842,243,21,Gray,Gray
3815-1,Heroic Heroes of the Deep,14.99,17.0,32.199999999999996,Licensed,2011.0,102,65,16,Black,Yellow
3816-1,Glove World,19.99,16.0,13.2,Licensed,2011.0,172,72,14,Brown,White
4181-1,Isla de la Muerta,19.99,38.0,92.0,Licensed,2011.0,174,94,22,Gray,Gray
4182-1,The Cannibal Escape,29.99,27.0,35.2,Licensed,2011.0,294,120,18,Brown,White
4183-1,The Mill,39.99,39.0,24.0,Licensed,2011.0,374,113,20,Gray,Gray
4184-1,The Black Pearl,99.99,271.0,41.4,Licensed,2011.0,831,194,19,Black,Gray
4191-1,Captain's Cabin,11.99,15.0,90.3,Licensed,2011.0,102,53,16,Yellow,Brown
4192-1,Fountain of Youth,19.99,26.0,64.8,Licensed,2011.0,134,64,16,Green,Transparent
4193-1,The London Escape,49.99,44.0,32.0,Licensed,2011.0,487,179,21,Black,Gray
4194-1,Whitecap Bay,79.99,76.0,47.0,Licensed,2011.0,775,208,26,Gray,Brown
4195-1,Queen Anne's Revenge,119.99,222.0,50.599999999999994,Licensed,2011.0,1124,244,25,Black,Gray
4641-1,Speedboat,4.99,3.0,35.1,Modern day,2011.0,35,28,6,Black,White
4642-1,Fishing Boat,19.99,12.0,15.2,Modern day,2011.0,69,50,15,White,Red
4643-1,Power Boat Transporter,39.99,15.0,12.899999999999999,Modern day,2011.0,256,124,10,Yellow,Black
4644-1,Marina,49.99,27.0,27.3,Modern day,2011.0,285,140,19,White,Gray
4645-1,Harbour,89.99,75.0,15.0,Modern day,2011.0,562,221,21,Gray,Black
4865-1,The Forbidden Forest,11.99,22.0,68.8,Licensed,2011.0,65,41,14,Black,Brown
4866-1,The Knight Bus,34.99,72.0,44.0,Licensed,2011.0,281,83,15,Blue,Black
4867-1,Hogwarts,49.99,63.0,49.5,Licensed,2011.0,477,156,26,Tan,Gray
5763-1,Dune Hopper,12.99,5.0,27.0,Model making,2011.0,142,71,9,Gray,Black
5764-1,Rescue Robot,16.99,13.0,16.0,Model making,2011.0,157,71,10,Black,Red
5765-1,Transport Truck,19.99,6.0,9.0,Model making,2011.0,286,107,13,Gray,Blue
5766-1,Log Cabin,29.99,21.0,67.2,Model making,2011.0,365,108,17,Brown,Tan
5767-1,Cool Cruiser,39.99,26.0,16.0,Model making,2011.0,635,158,11,Yellow,Black
5770-1,Lighthouse Island,39.99,39.0,58.800000000000004,Model making,2011.0,531,169,18,White,Red
5771-1,Hillside House,69.99,55.0,44.1,Model making,2011.0,729,210,23,White,Gray
6918-1,Blacksmith Attack,9.99,23.0,78.19999999999999,Historical,2011.0,117,73,14,Black,Brown
7049-1,Alien Striker,4.99,4.0,58.5,Action/Adventure,2011.0,46,26,11,Gray,Green
7050-1,Alien Defender,9.99,5.0,32.199999999999996,Action/Adventure,2011.0,113,60,16,Gray,Gray
7051-1,Tripod Invader,19.99,19.0,85.0,Action/Adventure,2011.0,172,71,16,Black,Gray
7052-1,UFO Abduction,29.99,22.0,58.800000000000004,Action/Adventure,2011.0,218,88,21,Gray,Gray
7065-1,Alien Mothership,59.99,32.0,32.0,Action/Adventure,2011.0,425,99,18,Gray,Black
7066-1,Earth Defense HQ,89.99,66.0,45.0,Action/Adventure,2011.0,908,308,23,Blue,Gray
7067-1,Jet-Copter Encounter,39.99,24.0,22.0,Action/Adventure,2011.0,389,146,20,Blue,Gray
7187-1,Escape from the Dragon's Prison,19.99,50.0,36.0,Historical,2011.0,190,89,17,Black,Brown
7188-1,King's Carriage Ambush,39.99,36.0,24.0,Historical,2011.0,290,121,24,Brown,White
7189-1,Mill Village Raid,69.99,154.0,39.6,Historical,2011.0,678,200,23,Brown,Gray
7279-1,Police Minifigure Collection,9.99,4.0,92.4,Modern day,2011.0,61,48,13,Gray,Black
7285-1,Police Dog Unit,12.99,6.0,52.800000000000004,Modern day,2011.0,100,52,11,White,Blue
7286-1,Prisoner Transport,19.99,9.0,39.6,Modern day,2011.0,182,102,16,White,Gray
7287-1,Police Boat,39.99,20.0,23.099999999999998,Modern day,2011.0,183,106,13,White,Black
7288-1,Mobile Police Unit,44.99,19.0,25.799999999999997,Modern day,2011.0,425,172,18,White,Gray
7305-1,Scarab Attack,4.99,5.0,96.0,Historical,2011.0,47,32,12,Black,Gray
7306-1,Golden Staff Guardians,9.99,16.0,79.2,Historical,2011.0,75,48,18,Tan,Gray
7307-1,Flying Mummy Attack,19.99,19.0,79.2,Historical,2011.0,128,70,19,Black,Gray
7325-1,Cursed Cobra Statue,29.99,28.0,54.6,Historical,2011.0,219,96,18,Black,Yellow
7326-1,Rise of the Sphinx,49.99,47.0,34.300000000000004,Historical,2011.0,534,144,16,Tan,Black
7327-1,Scorpion Pyramid,99.99,160.0,47.0,Historical,2011.0,802,234,21,Tan,Gray
7498-1,Police Station,99.99,52.0,57.599999999999994,Modern day,2011.0,819,263,23,White,Black
7499-1,Flexible and Straight Tracks,19.99,14.0,7.2,Modern day,2011.0,28,3,1,Gray,Gray
7868-1,Mace Windu's Jedi Starfighter,39.99,67.0,30.800000000000004,Licensed,2011.0,323,154,17,Gray,White
7869-1,Battle for Geonosis,39.99,52.0,45.0,Licensed,2011.0,350,157,15,Gray,Gray
7877-1,Naboo Starfighter,49.99,30.0,18.0,Licensed,2011.0,331,153,16,Gray,Yellow
7879-1,Hoth Echo Base,89.99,122.0,32.8,Licensed,2011.0,797,237,21,Gray,White
7913-1,Clone Trooper Battle Pack,12.99,14.0,133.29999999999998,Licensed,2011.0,86,51,7,White,Gray
7914-1,Mandalorian Battle Pack,12.99,13.0,134.4,Licensed,2011.0,73,49,9,Gray,Gray
